"a","b","c","cor","n","mu.z","mu.x","skew","p.missing","i","Sample","caseIII","corrected","uncorrected","CaseIII"
0.242,0.242,0,0,50,0,5,-100,0.1,291,0.0585496767283992,NA,0.125792399855674,0.132184076987072,0.127097948559937
0.242,0.242,0.099,0,50,0,5,-100,0.1,291,0.0342226348374431,NA,0.125209709774388,0.164994834314539,0.107878413635034
0.242,0.242,0.242,0,50,0,5,-100,0.1,291,-0.200214931445331,NA,-0.195664329405829,-0.122906770795063,-0.160989711018821
0.242,0.242,0.371,0,50,0,5,-100,0.1,291,0.00360541348326468,NA,0.0287988262961069,0.0379212544789495,0.012122253031461
0.242,0.242,0,0.1,50,0,5,-100,0.1,291,0.290173206057142,NA,0.242080444766075,0.275000855926205,0.241945087867565
0.242,0.242,0.099,0.1,50,0,5,-100,0.1,291,-0.164235862128444,NA,0.0298114398005808,-0.121398131460874,-0.149789516098818
0.242,0.242,0.242,0.1,50,0,5,-100,0.1,291,-0.1582686791705,NA,-0.0085426405122212,-0.00725752885083319,-0.026197383382493
0.242,0.242,0.371,0.1,50,0,5,-100,0.1,291,0.113998182014044,NA,-0.0307117604819529,0.0427086361779116,-0.00871302263938151
0.242,0.242,0,0.3,50,0,5,-100,0.1,291,0.235652659019982,NA,0.263200427580301,0.252846959203352,0.250169123862029
0.242,0.242,0.099,0.3,50,0,5,-100,0.1,291,0.0509788687758827,NA,-0.0414967966963718,-0.000849382616904484,-0.0409390335460938
0.242,0.242,0.242,0.3,50,0,5,-100,0.1,291,-0.0836482108334152,NA,-0.0429238831270337,-0.0616652239855979,-0.100941445304192
0.242,0.242,0.371,0.3,50,0,5,-100,0.1,291,0.163446720389368,NA,0.108321318560194,0.184275145629998,0.151364047082953
0.242,0.242,0,0.5,50,0,5,-100,0.1,291,0.331145360963439,NA,0.499235465041955,0.429293339055335,0.445795387583906
0.242,0.242,0.099,0.5,50,0,5,-100,0.1,291,0.260178594699257,NA,0.254342199716947,0.275177952477772,0.228376912833779
0.242,0.242,0.242,0.5,50,0,5,-100,0.1,291,0.0754241551725466,NA,0.18284369583677,0.0924745416914892,0.102036457209124
0.242,0.242,0.371,0.5,50,0,5,-100,0.1,291,0.151175502783018,NA,-0.0392536824359361,-0.0575133620027924,-0.0405075857449133
0.242,0.242,0,0,200,0,5,-100,0.1,291,-0.0229988564678448,NA,-0.0440465312497891,0.00405316077027659,-0.0166620194276183
0.242,0.242,0.099,0,200,0,5,-100,0.1,291,0.0198846216216888,NA,0.0288676198027617,0.0666415190669714,0.0209881876645325
0.242,0.242,0.242,0,200,0,5,-100,0.1,291,-0.0704507369368974,NA,-0.0821068672723145,-0.060940278150114,-0.1058290523248
0.242,0.242,0.371,0,200,0,5,-100,0.1,291,-0.0564800028474888,NA,-0.0945510046425452,-0.0243405887581061,-0.0988502570146723
0.242,0.242,0,0.1,200,0,5,-100,0.1,291,0.18878730840832,NA,0.171275755511712,0.209353566584072,0.182565740227762
0.242,0.242,0.099,0.1,200,0,5,-100,0.1,291,0.185362052534376,NA,0.198082470731616,0.222908509880481,0.201050277548787
0.242,0.242,0.242,0.1,200,0,5,-100,0.1,291,0.0194801826797558,NA,-0.0405423047884445,0.0243382495654295,-0.0410487236531337
0.242,0.242,0.371,0.1,200,0,5,-100,0.1,291,-0.0359592760937386,NA,-0.038719025173442,0.0189188785539204,-0.0316110247358094
0.242,0.242,0,0.3,200,0,5,-100,0.1,291,0.291260507554749,NA,0.242213101423088,0.272282728746892,0.256606359875905
