"a","b","c","cor","n","mu.z","mu.x","skew","p.missing","i","Sample","caseIII","corrected","uncorrected","CaseIII"
0.242,0,0.242,0,50,500,5,-100,0.1,41,0.215646299985495,NA,0.334259961358374,0.381461893923711,0.372650375075494
0.242,0.099,0.242,0,50,500,5,-100,0.1,41,0.138205197862144,NA,0.295438352412186,0.242271661680597,0.285415984283517
0.242,0.242,0.242,0,50,500,5,-100,0.1,41,0.120818200528363,NA,0.136106506222211,0.217739846898831,0.183459684598409
0.242,0.371,0.242,0,50,500,5,-100,0.1,41,-0.00498346117111148,NA,-0.212849166287279,-0.0974835592702348,-0.082884563345335
0.242,0,0.242,0.1,50,500,5,-100,0.1,41,0.224497579030045,NA,0.305697030412089,0.283532688302481,0.298290175289065
0.242,0.099,0.242,0.1,50,500,5,-100,0.1,41,0.0442233044135796,NA,0.0659941424788183,0.071135707520526,0.0655329986008112
0.242,0.242,0.242,0.1,50,500,5,-100,0.1,41,-0.205579682632922,NA,-0.197375373470344,-0.158729892904487,-0.164954333571153
0.242,0.371,0.242,0.1,50,500,5,-100,0.1,41,0.346209164064758,NA,0.386589398040425,0.430328692270477,0.432268741785053
0.242,0,0.242,0.3,50,500,5,-100,0.1,41,-0.16480081741991,NA,-0.0748553594334772,-0.0737185735505191,-0.0702546898045484
0.242,0.099,0.242,0.3,50,500,5,-100,0.1,41,0.464042553855772,NA,0.453891998078012,0.467708157071574,0.469999359610459
0.242,0.242,0.242,0.3,50,500,5,-100,0.1,41,0.191827281068965,NA,0.233966204453814,0.252098973951937,0.226524776121078
0.242,0.371,0.242,0.3,50,500,5,-100,0.1,41,0.307802150763379,NA,0.29462181682805,0.292122514481953,0.277509311251752
0.242,0,0.242,0.5,50,500,5,-100,0.1,41,0.272016925773391,NA,0.12265537473676,0.242187804920655,0.234729567863386
0.242,0.099,0.242,0.5,50,500,5,-100,0.1,41,0.104898405846529,NA,0.215968658144563,0.173465535207105,0.173934521769654
0.242,0.242,0.242,0.5,50,500,5,-100,0.1,41,0.173096297383815,NA,0.0747771596547909,0.0772943284757968,0.0757435115039505
0.242,0.371,0.242,0.5,50,500,5,-100,0.1,41,0.33411161412649,NA,0.345511912330537,0.375172635849943,0.370463926568099
0.242,0,0.242,0,100,500,5,-100,0.1,41,0.126155013334073,NA,0.217006071573792,0.18478138238692,0.223826643389146
0.242,0.099,0.242,0,100,500,5,-100,0.1,41,0.131252468870317,NA,0.203260189516757,0.204273053461899,0.218706618918669
0.242,0.242,0.242,0,100,500,5,-100,0.1,41,0.161266640235807,NA,0.118291969320843,0.220813289924746,0.197105921174631
0.242,0.371,0.242,0,100,500,5,-100,0.1,41,0.00263831403935696,NA,-0.0517317451233777,0.0174216566827903,-0.0129249304516692
0.242,0,0.242,0.1,100,500,5,-100,0.1,41,0.0364176634883701,NA,0.0732233691244212,0.0517468316281588,0.0529243220231801
0.242,0.099,0.242,0.1,100,500,5,-100,0.1,41,0.133806260013356,NA,0.0681150845979798,0.190955679768418,0.196939087264378
0.242,0.242,0.242,0.1,100,500,5,-100,0.1,41,0.00632297156277029,NA,0.086304343291404,0.0860017623433413,0.0830500037546946
0.242,0.371,0.242,0.1,100,500,5,-100,0.1,41,0.134804962234852,NA,0.123824136785137,0.173117822407148,0.161201885061342
0.242,0,0.242,0.3,100,500,5,-100,0.1,41,0.21339996233407,NA,0.211841113071917,0.225161959769386,0.250659533529579
0.242,0.099,0.242,0.3,100,500,5,-100,0.1,41,0.18179038367279,NA,0.304848923280321,0.304315423674497,0.305217379182048
0.242,0.242,0.242,0.3,100,500,5,-100,0.1,41,0.0883573135561383,NA,0.285476693058334,0.201465861075514,0.210789264918448
0.242,0.371,0.242,0.3,100,500,5,-100,0.1,41,0.10727556892982,NA,0.0660247701389055,0.0543196194765151,0.041040298352226
0.242,0,0.242,0.5,100,500,5,-100,0.1,41,0.108649463385979,NA,0.302707841560142,0.276056238213977,0.27665504190867
0.242,0.099,0.242,0.5,100,500,5,-100,0.1,41,0.317236890272926,NA,0.349636667513242,0.362654971312549,0.370360125341553
0.242,0.242,0.242,0.5,100,500,5,-100,0.1,41,0.0921552138565753,NA,0.136092309915476,0.131728268581098,0.13005261736364
0.242,0.371,0.242,0.5,100,500,5,-100,0.1,41,0.0782293944225348,NA,0.100632258564367,0.0348742019489595,0.0206716970502268
0.242,0,0.242,0,200,500,5,-100,0.1,41,0.265267127360313,NA,0.281893429143188,0.298465553241199,0.322978256750201
0.242,0.099,0.242,0,200,500,5,-100,0.1,41,0.195976748480181,NA,0.212317587198184,0.21777074809956,0.251792426332352
0.242,0.242,0.242,0,200,500,5,-100,0.1,41,-0.0922106129658853,NA,-0.123100413470258,-0.0179341910402921,-0.0749605968907581
0.242,0.371,0.242,0,200,500,5,-100,0.1,41,-0.085725471871715,NA,-0.0165761591183581,0.0285639999698672,-0.0144878899337356
0.242,0,0.242,0.1,200,500,5,-100,0.1,41,0.139837641482035,NA,0.161681899420864,0.217833743394465,0.225097162861968
0.242,0.099,0.242,0.1,200,500,5,-100,0.1,41,0.0134212002700347,NA,0.0292892574924993,0.0679810055641906,0.0622660248699366
0.242,0.242,0.242,0.1,200,500,5,-100,0.1,41,0.00588927429502655,NA,-0.036224649710913,-0.0246551278321871,-0.0263096614487435
0.242,0.371,0.242,0.1,200,500,5,-100,0.1,41,-0.00201075799870577,NA,0.0868124583881738,0.141330213368436,0.118319303366534
0.242,0,0.242,0.3,200,500,5,-100,0.1,41,0.272419910083299,NA,0.269438694395251,0.263423596505595,0.275951279919681
0.242,0.099,0.242,0.3,200,500,5,-100,0.1,41,0.182156101984953,NA,0.156267810485479,0.13959474599515,0.154475275659085
0.242,0.242,0.242,0.3,200,500,5,-100,0.1,41,0.150149733991566,NA,0.16672285600812,0.168569905373478,0.158919137018978
0.242,0.371,0.242,0.3,200,500,5,-100,0.1,41,0.0940159718942887,NA,0.130804504105936,0.171679261097023,0.151572363607079
0.242,0,0.242,0.5,200,500,5,-100,0.1,41,0.168016741173915,NA,0.238135100639991,0.240461721528487,0.241887523779185
0.242,0.099,0.242,0.5,200,500,5,-100,0.1,41,0.101692019594766,NA,0.0773394416899102,0.0910737612050321,0.0904016449255286
0.242,0.242,0.242,0.5,200,500,5,-100,0.1,41,0.0376812709359036,NA,0.0731749627580619,0.0939631164046975,0.0937439567214882
0.242,0.371,0.242,0.5,200,500,5,-100,0.1,41,-0.0226558503957522,NA,-0.0858107338634072,-0.045098132411479,-0.0789666174113784
0.242,0,0.242,0,500,500,5,-100,0.1,41,0.182857127358543,NA,0.216349748555974,0.225710431342696,0.258612397804203
0.242,0.099,0.242,0,500,500,5,-100,0.1,41,0.214770364851882,NA,0.220058719759993,0.251706791252919,0.270708826118997
0.242,0.242,0.242,0,500,500,5,-100,0.1,41,0.0764626921846267,NA,0.0828725305676884,0.139027442476868,0.120311995647456
0.242,0.371,0.242,0,500,500,5,-100,0.1,41,0.143029278099538,NA,0.134838811527828,0.211107653736721,0.20049393945872
0.242,0,0.242,0.1,500,500,5,-100,0.1,41,0.140995477497036,NA,0.148837517213695,0.164177016762168,0.182256339381257
0.242,0.099,0.242,0.1,500,500,5,-100,0.1,41,0.114731258434935,NA,0.137443891442696,0.161159867350979,0.175166665451231
0.242,0.242,0.242,0.1,500,500,5,-100,0.1,41,0.099932438227726,NA,0.148992746110477,0.194097809656241,0.177921410017589
0.242,0.371,0.242,0.1,500,500,5,-100,0.1,41,0.057912962785071,NA,0.0328467476903646,0.103088439374395,0.0735735745411067
0.242,0,0.242,0.3,500,500,5,-100,0.1,41,0.175364533335333,NA,0.242940410170304,0.238912676862775,0.24620784544815
0.242,0.099,0.242,0.3,500,500,5,-100,0.1,41,0.116920530889809,NA,0.146772915189882,0.160017791618725,0.16067434314761
0.242,0.242,0.242,0.3,500,500,5,-100,0.1,41,0.131591071656715,NA,0.115867331480685,0.142585011085258,0.123351091746286
0.242,0.371,0.242,0.3,500,500,5,-100,0.1,41,0.100432109401254,NA,0.0846319463715156,0.116237257264447,0.0919507584236198
0.242,0,0.242,0.5,500,500,5,-100,0.1,41,0.0953227917907191,NA,0.114370815232705,0.106998735140858,0.108437182524569
0.242,0.099,0.242,0.5,500,500,5,-100,0.1,41,0.198435100313955,NA,0.260943670994942,0.262214162612914,0.260370069037167
0.242,0.242,0.242,0.5,500,500,5,-100,0.1,41,0.136289768862003,NA,0.124650135691069,0.128936039626129,0.121288524349547
0.242,0.371,0.242,0.5,500,500,5,-100,0.1,41,0.164617140303783,NA,0.114196843579973,0.106499952570051,0.102396187712302
0.242,0,0.242,0,50,500,5,-50,0.1,41,0.398659424754267,NA,0.26476329372316,0.275118488651887,0.315020488062624
0.242,0.099,0.242,0,50,500,5,-50,0.1,41,0.308417934793126,NA,0.340136348536418,0.312221946418029,0.313039001405363
0.242,0.242,0.242,0,50,500,5,-50,0.1,41,-0.128126304713283,NA,-0.114396466359119,-0.0304234663668404,-0.0734260344128231
0.242,0.371,0.242,0,50,500,5,-50,0.1,41,-0.0658066518513889,NA,0.00269742960571754,-0.0466268546838055,-0.0653638352093061
0.242,0,0.242,0.1,50,500,5,-50,0.1,41,0.282371913969153,NA,0.396460702308903,0.380914374585836,0.381371934529085
0.242,0.099,0.242,0.1,50,500,5,-50,0.1,41,0.0551495883216874,NA,0.0883403846239846,0.0730038683743439,0.0791517397649312
0.242,0.242,0.242,0.1,50,500,5,-50,0.1,41,0.0397438900224455,NA,0.101162640828081,0.0858376424329935,0.0675963749448837
0.242,0.371,0.242,0.1,50,500,5,-50,0.1,41,0.189265547173934,NA,0.134808473038911,0.261439431342399,0.217339692792508
0.242,0,0.242,0.3,50,500,5,-50,0.1,41,0.118315523605127,NA,0.111637087815914,0.130511910042645,0.123993867557214
0.242,0.099,0.242,0.3,50,500,5,-50,0.1,41,0.0902419996315272,NA,0.0522907003404285,0.0916240246974265,0.0517806492143893
0.242,0.242,0.242,0.3,50,500,5,-50,0.1,41,0.316747316673905,NA,0.295972529970999,0.36396972052112,0.369997639788011
0.242,0.371,0.242,0.3,50,500,5,-50,0.1,41,0.0834805934624548,NA,-0.167719365936641,-0.0552707749337844,-0.0874309757131225
0.242,0,0.242,0.5,50,500,5,-50,0.1,41,0.00532820828051879,NA,0.0165401749823174,0.0201311974100928,0.0124178805905629
0.242,0.099,0.242,0.5,50,500,5,-50,0.1,41,0.387552702211391,NA,0.412059821908739,0.359682107464834,0.354906669930052
