"a","b","c","cor","n","mu.z","mu.x","skew","p.missing","i","Sample","caseIII","corrected","uncorrected","CaseIII"
0.242,0,0.242,0,50,500,5,-100,0.1,431,0.233420140161636,NA,0.188545012221036,0.25350468796536,0.270358170747931
0.242,0.099,0.242,0,50,500,5,-100,0.1,431,0.0718994782667598,NA,0.0853480356522814,0.0756446898361239,0.0767503836786785
0.242,0.242,0.242,0,50,500,5,-100,0.1,431,0.0507416649105086,NA,0.123532009959504,0.157633127872927,0.175206357699762
0.242,0.371,0.242,0,50,500,5,-100,0.1,431,0.0331619922517772,NA,-0.132960452568007,0.101533063207862,0.117771383430884
0.242,0,0.242,0.1,50,500,5,-100,0.1,431,0.491016161679274,NA,0.330560975202718,0.453597931268363,0.460016405291195
0.242,0.099,0.242,0.1,50,500,5,-100,0.1,431,0.0861450505089633,NA,0.0372918470285104,0.102133503175291,0.118692390971643
0.242,0.242,0.242,0.1,50,500,5,-100,0.1,431,0.402984123418973,NA,0.386523927325402,0.384200584742384,0.404146891728993
0.242,0.371,0.242,0.1,50,500,5,-100,0.1,431,-0.0173516968974873,NA,-0.00121316935159454,0.00533936940269504,-0.00122469092729092
0.242,0,0.242,0.3,50,500,5,-100,0.1,431,0.17609902509955,NA,-0.0652875333629558,0.069056013793419,0.0722736922959203
0.242,0.099,0.242,0.3,50,500,5,-100,0.1,431,0.0810368997667003,NA,0.0436949264932901,0.0750878678236273,0.059210919497773
0.242,0.242,0.242,0.3,50,500,5,-100,0.1,431,0.143117589119724,NA,0.209755868465602,0.172932955894812,0.159517093165249
0.242,0.371,0.242,0.3,50,500,5,-100,0.1,431,0.206480078537958,NA,0.252345796510916,0.271202470148886,0.251384687300493
0.242,0,0.242,0.5,50,500,5,-100,0.1,431,-0.0653791328133989,NA,-0.148263917027089,-0.106639847463824,-0.121421300970923
0.242,0.099,0.242,0.5,50,500,5,-100,0.1,431,0.289585904381162,NA,0.313579972665083,0.319303666029938,0.34438449593204
0.242,0.242,0.242,0.5,50,500,5,-100,0.1,431,0.0409701371284134,NA,-0.05139872866569,0.00159755577002763,-0.0469091240534942
0.242,0.371,0.242,0.5,50,500,5,-100,0.1,431,0.274868355371063,NA,0.457692163323661,0.456031653581865,0.455266638880056
0.242,0,0.242,0,100,500,5,-100,0.1,431,-0.0831767249077288,NA,-0.133329133388404,-0.0725201042115403,-0.0835149690724964
