"a","b","c","cor","n","mu.z","mu.x","skew","p.missing","i","Sample","caseIII","corrected","uncorrected","CaseIII"
0.242,0.242,0,0,50,0,5,-100,0.1,21,0.195296861581802,NA,0.0984318812840345,0.210001578015651,0.159972019085083
0.242,0.242,0.099,0,50,0,5,-100,0.1,21,-0.136633898969024,NA,-0.234308602256282,-0.118395720691407,-0.153403144606366
0.242,0.242,0.242,0,50,0,5,-100,0.1,21,-0.150344154959193,NA,-0.216647453328035,-0.152669146284193,-0.211828709606361
0.242,0.242,0.371,0,50,0,5,-100,0.1,21,0.176177531240475,NA,0.115748076422068,0.256050160565268,0.198177748784983
0.242,0.242,0,0.1,50,0,5,-100,0.1,21,-0.101474697679102,NA,-0.181004785581742,-0.13469241392014,-0.15915620164087
0.242,0.242,0.099,0.1,50,0,5,-100,0.1,21,0.0374853948440629,NA,0.0278698473764214,0.0235001268326498,0.0440497675774946
0.242,0.242,0.242,0.1,50,0,5,-100,0.1,21,-0.0204923797948695,NA,-0.0742441886587382,0.0210080921564979,-0.0733769579451414
0.242,0.242,0.371,0.1,50,0,5,-100,0.1,21,-0.154867571417508,NA,-0.127090676379343,-0.0694528977264502,-0.107801330862094
0.242,0.242,0,0.3,50,0,5,-100,0.1,21,0.0984796904635246,NA,-0.0595805185597656,-0.0769404958684187,-0.0618497616799652
0.242,0.242,0.099,0.3,50,0,5,-100,0.1,21,0.214023408440596,NA,0.233698792512787,0.254547711336423,0.240282767512416
0.242,0.242,0.242,0.3,50,0,5,-100,0.1,21,0.0587816532034722,NA,-0.0370736905812073,0.0255605940609801,-0.0133106325927306
0.242,0.242,0.371,0.3,50,0,5,-100,0.1,21,0.140029225167196,NA,-0.0901923360098107,-0.0688662510173041,-0.111437903477379
0.242,0.242,0,0.5,50,0,5,-100,0.1,21,0.0396432630628023,NA,-0.0930957546278826,-0.0957725306256894,-0.0890804784794285
0.242,0.242,0.099,0.5,50,0,5,-100,0.1,21,0.0419515798285244,NA,-0.019741822053342,0.0365076011661997,0.0327174510337086
0.242,0.242,0.242,0.5,50,0,5,-100,0.1,21,0.298446614465162,NA,0.0611667318454945,0.116741233609185,0.126954676774106
0.242,0.242,0.371,0.5,50,0,5,-100,0.1,21,0.200025275348399,NA,-0.0540458381150915,0.0418193772258131,0.00161478001312648
0.242,0.242,0,0,200,0,5,-100,0.1,21,0.191169809745398,NA,0.23691538860183,0.209100088745372,0.197632190055197
0.242,0.242,0.099,0,200,0,5,-100,0.1,21,0.142141090087273,NA,0.0511235740886756,0.103577685598953,0.0582283051578768
0.242,0.242,0.242,0,200,0,5,-100,0.1,21,-0.276401433377712,NA,-0.296988968986025,-0.205821125721211,-0.283204825201959
0.242,0.242,0.371,0,200,0,5,-100,0.1,21,-0.0703308582897321,NA,-0.0495595671428382,-0.0167404737450167,-0.0703798025608203
0.242,0.242,0,0.1,200,0,5,-100,0.1,21,0.0778318065990776,NA,0.0520641364342466,0.0606148690701972,0.0485561672292523
0.242,0.242,0.099,0.1,200,0,5,-100,0.1,21,0.190253091367538,NA,0.157738845924093,0.210586273069642,0.171015590126424
0.242,0.242,0.242,0.1,200,0,5,-100,0.1,21,-0.020358389228377,NA,-0.088832480500923,-0.047260139795971,-0.0851383080449255
0.242,0.242,0.371,0.1,200,0,5,-100,0.1,21,0.0277420102727221,NA,0.0146793115486439,0.0824481401762144,0.0253124346641364
0.242,0.242,0,0.3,200,0,5,-100,0.1,21,0.126013671284027,NA,0.134902293009044,0.135506028549053,0.125124913706464
0.242,0.242,0.099,0.3,200,0,5,-100,0.1,21,0.20150235326965,NA,0.150562354823543,0.166780979675265,0.140628183794141
0.242,0.242,0.242,0.3,200,0,5,-100,0.1,21,0.109996062781768,NA,0.0290271851394021,0.0419318594050533,0.0189719495009178
0.242,0.242,0.371,0.3,200,0,5,-100,0.1,21,0.0755974291146343,NA,0.0698962458119714,0.0865716917255791,0.0556460509528249
0.242,0.242,0,0.5,200,0,5,-100,0.1,21,0.115015070331221,NA,0.110418912416825,0.11585383221183,0.105887271274024
0.242,0.242,0.099,0.5,200,0,5,-100,0.1,21,0.175518380141598,NA,0.118413392322917,0.120001192092817,0.116704803372372
0.242,0.242,0.242,0.5,200,0,5,-100,0.1,21,0.128869353739261,NA,0.0269087279163691,0.0724021066933984,0.025256889382332
0.242,0.242,0.371,0.5,200,0,5,-100,0.1,21,0.111664064989204,NA,0.0640861142264129,0.0711212774872299,0.0551361597193645
0.242,0.242,0,0,500,0,5,-100,0.1,21,0.155188862926501,NA,0.119592433210923,0.158266416633012,0.133955515990703
