"a","b","c","cor","n","mu.z","mu.x","skew","p.missing","i","Sample","caseIII","corrected","uncorrected","CaseIII"
0.242,0,0.242,0,50,500,5,-100,0.1,411,0.303520049077242,NA,0.118686608228589,0.289162834453819,0.326138779252664
0.242,0.099,0.242,0,50,500,5,-100,0.1,411,0.341992082020246,NA,0.114175187252399,0.305814397791084,0.317287510257615
0.242,0.242,0.242,0,50,500,5,-100,0.1,411,0.135669724823698,NA,0.144858520812456,0.219875890875667,0.176998506536951
0.242,0.371,0.242,0,50,500,5,-100,0.1,411,0.136613770917026,NA,0.201302215321896,0.176490192561276,0.18121232936009
0.242,0,0.242,0.1,50,500,5,-100,0.1,411,0.296177069704172,NA,0.253227830428451,0.26060157375544,0.328589184878728
0.242,0.099,0.242,0.1,50,500,5,-100,0.1,411,0.148062781756455,NA,0.411298511927432,0.320481425355764,0.369762205642624
0.242,0.242,0.242,0.1,50,500,5,-100,0.1,411,0.176219698207593,NA,0.219644522805553,0.179003386775384,0.198041810442782
0.242,0.371,0.242,0.1,50,500,5,-100,0.1,411,-0.0447587556085757,NA,-0.0916679250302586,-0.18977141744097,-0.194825318656703
0.242,0,0.242,0.3,50,500,5,-100,0.1,411,0.32826302652969,NA,0.434838373149769,0.427554906693015,0.433812467360915
0.242,0.099,0.242,0.3,50,500,5,-100,0.1,411,0.322062892984205,NA,0.328029606730452,0.323524282404032,0.322502043621898
0.242,0.242,0.242,0.3,50,500,5,-100,0.1,411,0.239769770290054,NA,0.202301211321085,0.220498669977268,0.213211439639513
0.242,0.371,0.242,0.3,50,500,5,-100,0.1,411,0.149997486051176,NA,0.172278060961583,0.206638971268919,0.158564340737335
0.242,0,0.242,0.5,50,500,5,-100,0.1,411,0.178091534030181,NA,0.133562998197651,0.133085468327286,0.132705526533401
0.242,0.099,0.242,0.5,50,500,5,-100,0.1,411,0.279471479789565,NA,0.150744463575542,0.165456639618837,0.150751137915973
0.242,0.242,0.242,0.5,50,500,5,-100,0.1,411,0.0794635130986135,NA,0.142143790549346,0.112284495657197,0.123551297835853
0.242,0.371,0.242,0.5,50,500,5,-100,0.1,411,0.0899435640011535,NA,0.0587945770294923,0.0825737467891608,0.0561423703420292
0.242,0,0.242,0,100,500,5,-100,0.1,411,0.405151588169476,NA,0.413690722766312,0.362555892739189,0.410216995686602
0.242,0.099,0.242,0,100,500,5,-100,0.1,411,0.157607233666239,NA,0.217798477648626,0.234541623178225,0.23984804887055
0.242,0.242,0.242,0,100,500,5,-100,0.1,411,0.365894640884379,NA,0.422110370358837,0.419980041883818,0.440195645296848
0.242,0.371,0.242,0,100,500,5,-100,0.1,411,-0.103218202617635,NA,-0.0138419628522051,0.000538957693024134,-0.0114079641432767
0.242,0,0.242,0.1,100,500,5,-100,0.1,411,0.278465227175996,NA,0.288729377470272,0.270864337744859,0.288507716922142
0.242,0.099,0.242,0.1,100,500,5,-100,0.1,411,0.166672545761608,NA,0.258353893691078,0.278860534989396,0.268671684718194
0.242,0.242,0.242,0.1,100,500,5,-100,0.1,411,0.165603312468305,NA,0.0872119227398906,0.204587213921665,0.240396156485351
0.242,0.371,0.242,0.1,100,500,5,-100,0.1,411,-0.113675035886598,NA,-0.142994981253851,-0.0734527536861634,-0.112485847890871
0.242,0,0.242,0.3,100,500,5,-100,0.1,411,0.266474579267406,NA,0.174603226127217,0.201532390276834,0.190760991166384
0.242,0.099,0.242,0.3,100,500,5,-100,0.1,411,0.113247659537981,NA,0.145017601573736,0.173240234677883,0.153353842799011
0.242,0.242,0.242,0.3,100,500,5,-100,0.1,411,0.105756994082862,NA,0.0564356208460839,0.055830766905088,0.0599347646454274
0.242,0.371,0.242,0.3,100,500,5,-100,0.1,411,0.185115338575763,NA,0.0901652523423905,0.14204370484635,0.0941432367263522
0.242,0,0.242,0.5,100,500,5,-100,0.1,411,0.0309134933123619,NA,0.0135679353896172,-0.0222992467013228,-0.00305406837211711
0.242,0.099,0.242,0.5,100,500,5,-100,0.1,411,0.254820356195816,NA,0.356978018616546,0.34911890751546,0.34845201726075
0.242,0.242,0.242,0.5,100,500,5,-100,0.1,411,0.0582221855543798,NA,0.0989047057198871,0.102694740731686,0.094102932953871
0.242,0.371,0.242,0.5,100,500,5,-100,0.1,411,-0.083970354231023,NA,-0.0586803676784006,-0.0315739865384,-0.053765208901676
0.242,0,0.242,0,200,500,5,-100,0.1,411,0.108567316348246,NA,0.110478830563457,0.12285377649633,0.142287169987815
0.242,0.099,0.242,0,200,500,5,-100,0.1,411,0.194949146979256,NA,0.175272090541435,0.214103031259273,0.236718206246136
0.242,0.242,0.242,0,200,500,5,-100,0.1,411,-0.0640529167546545,NA,-0.000272059173067281,0.0138319950486139,0.0103332076452969
0.242,0.371,0.242,0,200,500,5,-100,0.1,411,0.165483325708202,NA,0.0893865034409752,0.195033456402495,0.164440171281322
0.242,0,0.242,0.1,200,500,5,-100,0.1,411,0.147695375630399,NA,0.163699379786159,0.173787515067804,0.190843193956069
0.242,0.099,0.242,0.1,200,500,5,-100,0.1,411,0.336581878180472,NA,0.355666694478322,0.362431829818375,0.38360483246748
0.242,0.242,0.242,0.1,200,500,5,-100,0.1,411,0.0787774030936752,NA,0.0357672521678654,0.105023590655881,0.0825291795837638
0.242,0.371,0.242,0.1,200,500,5,-100,0.1,411,-0.0262927499275203,NA,-0.0342073607392813,0.0508030439100047,0.0148247923491645
0.242,0,0.242,0.3,200,500,5,-100,0.1,411,0.216194158897726,NA,0.242573916549957,0.265329145558586,0.260823898395658
0.242,0.099,0.242,0.3,200,500,5,-100,0.1,411,0.281383721581042,NA,0.278808774759718,0.304288623932105,0.284842321900642
0.242,0.242,0.242,0.3,200,500,5,-100,0.1,411,0.15619431856627,NA,0.168015438170708,0.183828159804201,0.1722253620879
0.242,0.371,0.242,0.3,200,500,5,-100,0.1,411,-0.0133853277731149,NA,-0.0212974531754614,-0.0298661588915111,-0.0617772843278533
0.242,0,0.242,0.5,200,500,5,-100,0.1,411,0.20496569246707,NA,0.190833790425192,0.188644915225526,0.191930458835386
0.242,0.099,0.242,0.5,200,500,5,-100,0.1,411,0.0583898913171994,NA,0.0659333355554542,0.0711185965400458,0.0669565189865154
0.242,0.242,0.242,0.5,200,500,5,-100,0.1,411,0.11690333080194,NA,0.140062809320469,0.137783544457112,0.138865204391426
0.242,0.371,0.242,0.5,200,500,5,-100,0.1,411,0.15205551611097,NA,0.10960624638891,0.116365297562693,0.0990710756068185
0.242,0,0.242,0,500,500,5,-100,0.1,411,0.141909803567793,NA,0.211464501039815,0.199127060492192,0.226446969539741
0.242,0.099,0.242,0,500,500,5,-100,0.1,411,0.279069368713997,NA,0.260293723567723,0.305607220516731,0.32108676526223
0.242,0.242,0.242,0,500,500,5,-100,0.1,411,0.095947910935354,NA,0.0932765609991771,0.134757047290655,0.117493204751038
0.242,0.371,0.242,0,500,500,5,-100,0.1,411,0.0215012608689719,NA,-0.0517610595556091,0.0336432030520185,0.00630522480749194
0.242,0,0.242,0.1,500,500,5,-100,0.1,411,0.223657265111942,NA,0.282033943253387,0.261748107110084,0.297194162433063
0.242,0.099,0.242,0.1,500,500,5,-100,0.1,411,0.0688038171202879,NA,0.0792404265392089,0.0889831722774392,0.105439877469717
0.242,0.242,0.242,0.1,500,500,5,-100,0.1,411,0.0232104001068788,NA,0.0407703135196285,0.0884503087835894,0.0804151207014962
