"a","b","c","cor","n","mu.z","mu.x","skew","p.missing","i","Sample","caseIII","corrected","uncorrected","CaseIII"
0.242,0.242,0,0,50,0,5,-100,0.1,331,-0.145279653080358,NA,-0.127330366149774,-0.103266873976691,-0.122384885113512
0.242,0.242,0.099,0,50,0,5,-100,0.1,331,0.00229067366281236,NA,-0.0740241284634862,-0.0587838754255704,-0.060556179138816
0.242,0.242,0.242,0,50,0,5,-100,0.1,331,0.1490601671717,NA,0.115683124611513,0.123909097991375,0.0903562995056194
0.242,0.242,0.371,0,50,0,5,-100,0.1,331,-0.214733138813096,NA,-0.345315308624643,-0.258080105692357,-0.316346532319353
0.242,0.242,0,0.1,50,0,5,-100,0.1,331,0.15644813785519,NA,0.102749706622579,0.141003981409672,0.148584580989969
0.242,0.242,0.099,0.1,50,0,5,-100,0.1,331,0.128850336191056,NA,0.220588765102761,0.170581966613841,0.178876351780035
0.242,0.242,0.242,0.1,50,0,5,-100,0.1,331,-0.0343818878289346,NA,-0.257095375640871,-0.188731273129004,-0.259648849935277
0.242,0.242,0.371,0.1,50,0,5,-100,0.1,331,0.10712392360046,NA,0.00662301183822662,0.047847333806059,0.0212515664528914
0.242,0.242,0,0.3,50,0,5,-100,0.1,331,0.110355221744176,NA,0.00467917324219769,0.0701946257158604,0.0369061723919123
0.242,0.242,0.099,0.3,50,0,5,-100,0.1,331,0.25065397342247,NA,0.306910820879155,0.322028491706517,0.324475157653026
0.242,0.242,0.242,0.3,50,0,5,-100,0.1,331,0.320319304723195,NA,0.33329195667134,0.349789001908427,0.355125738721497
0.242,0.242,0.371,0.3,50,0,5,-100,0.1,331,0.06679654514012,NA,0.0289267334342029,-0.00270122220107232,-0.0589082884495325
0.242,0.242,0,0.5,50,0,5,-100,0.1,331,0.156852828607145,NA,0.270832925994257,0.271302460380858,0.272010817840325
0.242,0.242,0.099,0.5,50,0,5,-100,0.1,331,0.171735109924936,NA,0.263085858140326,0.209564165189105,0.211170748372683
0.242,0.242,0.242,0.5,50,0,5,-100,0.1,331,0.423140738965809,NA,0.324670841638451,0.325112315857328,0.325315815185486
0.242,0.242,0.371,0.5,50,0,5,-100,0.1,331,0.171235523828209,NA,0.145820948006912,0.185073202685298,0.155362778895796
0.242,0.242,0,0,200,0,5,-100,0.1,331,0.192656287652362,NA,0.169637383613391,0.194369088640808,0.175758975881288
0.242,0.242,0.099,0,200,0,5,-100,0.1,331,0.117096034366414,NA,0.0705610696664301,0.0798280284015854,0.0576672746873229
0.242,0.242,0.242,0,200,0,5,-100,0.1,331,0.0901459289849679,NA,0.0259095954258867,0.0976319676046589,0.0580989668171704
0.242,0.242,0.371,0,200,0,5,-100,0.1,331,-0.208680839438974,NA,-0.263475693246827,-0.184073613267838,-0.24650002817948
0.242,0.242,0,0.1,200,0,5,-100,0.1,331,0.190699664102091,NA,0.207347510552498,0.227560301095905,0.218423334635124
0.242,0.242,0.099,0.1,200,0,5,-100,0.1,331,0.190953532815351,NA,0.124799017446717,0.15187734154452,0.13917613431609
0.242,0.242,0.242,0.1,200,0,5,-100,0.1,331,-0.00322269697050036,NA,-0.0667778983758969,0.0141697688711707,-0.0710727717597446
0.242,0.242,0.371,0.1,200,0,5,-100,0.1,331,-0.000371667015340932,NA,0.00992385065989147,0.0738706908898172,0.0199042937437791
0.242,0.242,0,0.3,200,0,5,-100,0.1,331,0.109016739679657,NA,0.06467941619464,0.0842282621340666,0.0642172733273981
0.242,0.242,0.099,0.3,200,0,5,-100,0.1,331,0.121959968669693,NA,0.039389404214723,0.0874888962835047,0.0355753417683184
0.242,0.242,0.242,0.3,200,0,5,-100,0.1,331,0.173162548039817,NA,0.0621357569545674,0.132855019883273,0.0834815557477918
0.242,0.242,0.371,0.3,200,0,5,-100,0.1,331,-0.101800097196914,NA,-0.128416249313313,-0.0979602854488629,-0.130993738092134
0.242,0.242,0,0.5,200,0,5,-100,0.1,331,0.16637966301147,NA,0.146665374165721,0.144285934469911,0.138190646601658
0.242,0.242,0.099,0.5,200,0,5,-100,0.1,331,0.195458649776326,NA,0.175210371723971,0.179857347339306,0.170042152723608
