"a","b","c","cor","n","mu.z","mu.x","skew","p.missing","i","Sample","caseIII","corrected","uncorrected","CaseIII"
0.242,0,0.242,0,50,500,5,-100,0.1,111,0.178420989142172,NA,-0.00437943083755686,0.24030938869707,0.247986880673508
0.242,0.099,0.242,0,50,500,5,-100,0.1,111,0.0942210216681731,NA,-0.0141306808520054,0.0200669260791525,-0.0137181414751864
0.242,0.242,0.242,0,50,500,5,-100,0.1,111,0.0390792638756786,NA,-0.00578004102003974,0.0319023991499027,0.0279765594682293
0.242,0.371,0.242,0,50,500,5,-100,0.1,111,-0.0725788377185021,NA,-0.089053029712331,0.0463982725038707,-0.00396087435377192
0.242,0,0.242,0.1,50,500,5,-100,0.1,111,0.297841719946943,NA,0.446750871318122,0.379640242623374,0.430070013043113
0.242,0.099,0.242,0.1,50,500,5,-100,0.1,111,0.0480253539009841,NA,0.190407654960943,0.176102496444438,0.222733289658937
0.242,0.242,0.242,0.1,50,500,5,-100,0.1,111,0.365909203302486,NA,0.425269247616388,0.434139703735731,0.419263983863118
0.242,0.371,0.242,0.1,50,500,5,-100,0.1,111,0.140232183549588,NA,0.0535918346241748,0.0860637937134395,0.0590830492880803
0.242,0,0.242,0.3,50,500,5,-100,0.1,111,0.259643133052295,NA,0.185092537583592,0.182776435031324,0.200892714947391
0.242,0.099,0.242,0.3,50,500,5,-100,0.1,111,0.245540588841084,NA,0.193696526505013,0.239332422309549,0.196544861315036
0.242,0.242,0.242,0.3,50,500,5,-100,0.1,111,0.272872181679354,NA,0.264073144195655,0.238523399792644,0.262963309508346
0.242,0.371,0.242,0.3,50,500,5,-100,0.1,111,-0.0624676552091207,NA,-0.0776607342271038,0.000381921903096166,-0.0127218494856044
0.242,0,0.242,0.5,50,500,5,-100,0.1,111,0.0952853498402127,NA,0.023675678160527,0.0253893180134794,0.0242909845478752
0.242,0.099,0.242,0.5,50,500,5,-100,0.1,111,0.125954301828577,NA,0.112846600536167,0.178441298892151,0.177783999050043
0.242,0.242,0.242,0.5,50,500,5,-100,0.1,111,0.425826822180074,NA,0.44368135014323,0.446591381739383,0.441662610139962
0.242,0.371,0.242,0.5,50,500,5,-100,0.1,111,0.19135887537374,NA,0.0542585176439506,0.10335265163449,0.0694711129499045
0.242,0,0.242,0,100,500,5,-100,0.1,111,0.193894524653575,NA,0.238191187226405,0.25747992859662,0.325498345474659
0.242,0.099,0.242,0,100,500,5,-100,0.1,111,0.0344590248212786,NA,0.0603525558128569,0.139939988017923,0.136086775423001
0.242,0.242,0.242,0,100,500,5,-100,0.1,111,0.107065055391233,NA,0.155543074887686,0.184122611671881,0.176100852041195
0.242,0.371,0.242,0,100,500,5,-100,0.1,111,-0.18527710340109,NA,-0.21217221547667,-0.0966164271046892,-0.153774296229397
0.242,0,0.242,0.1,100,500,5,-100,0.1,111,0.138779035141228,NA,0.158327041718386,0.141753176545661,0.171396993120521
0.242,0.099,0.242,0.1,100,500,5,-100,0.1,111,0.0524294121776846,NA,-0.137947090738234,0.0246747473852616,0.0168468873147241
0.242,0.242,0.242,0.1,100,500,5,-100,0.1,111,0.076825700288472,NA,0.179749121174906,0.183202643800589,0.162977647092974
0.242,0.371,0.242,0.1,100,500,5,-100,0.1,111,0.0210496252167994,NA,-0.0100479532579012,0.140389420257444,0.137581105543248
0.242,0,0.242,0.3,100,500,5,-100,0.1,111,0.184845285029149,NA,0.220237835455268,0.247310150352633,0.257086576602724
0.242,0.099,0.242,0.3,100,500,5,-100,0.1,111,0.313201981550228,NA,0.327388988811237,0.312141126157848,0.32738650660259
0.242,0.242,0.242,0.3,100,500,5,-100,0.1,111,0.200646819711212,NA,0.174268273862653,0.206864206583591,0.200653901098293
0.242,0.371,0.242,0.3,100,500,5,-100,0.1,111,0.224426865018533,NA,0.271780899632186,0.284135250636872,0.294248471796695
0.242,0,0.242,0.5,100,500,5,-100,0.1,111,0.259919835836455,NA,0.25974826188407,0.267794876889958,0.268793407797223
