"a","b","c","cor","n","mu.z","mu.x","skew","p.missing","i","Sample","caseIII","corrected","uncorrected","CaseIII"
0.242,0,0.242,0,50,500,5,-100,0.1,81,0.230822079582815,NA,0.312547300548168,0.307274604488099,0.32376106257687
0.242,0.099,0.242,0,50,500,5,-100,0.1,81,0.0202154669422537,NA,0.0317768159947463,0.130232135342105,0.132263865977152
0.242,0.242,0.242,0,50,500,5,-100,0.1,81,0.114974665636079,NA,0.0898055912964555,0.0899377668970015,0.0435052620035327
0.242,0.371,0.242,0,50,500,5,-100,0.1,81,0.203178213047396,NA,0.156824300298345,0.217862028970189,0.227839114826799
0.242,0,0.242,0.1,50,500,5,-100,0.1,81,0.155035157750446,NA,0.271514483391646,0.239844027161855,0.228633888014907
0.242,0.099,0.242,0.1,50,500,5,-100,0.1,81,0.0475668741885947,NA,0.102915542625557,0.142081381963732,0.121273634966545
0.242,0.242,0.242,0.1,50,500,5,-100,0.1,81,0.0567833902500154,NA,-0.059471967187503,0.0458597726856449,0.0370781113529608
0.242,0.371,0.242,0.1,50,500,5,-100,0.1,81,-0.124722055249555,NA,-0.0952682085466145,-0.054637227362838,-0.100702135556674
0.242,0,0.242,0.3,50,500,5,-100,0.1,81,0.277142739571858,NA,0.456116384093877,0.371928088069719,0.454384269328323
0.242,0.099,0.242,0.3,50,500,5,-100,0.1,81,0.287487043176727,NA,0.253330700643664,0.282126104798179,0.279835214830664
0.242,0.242,0.242,0.3,50,500,5,-100,0.1,81,0.279918100808239,NA,0.183787932671457,0.256888398627166,0.211100599727435
0.242,0.371,0.242,0.3,50,500,5,-100,0.1,81,0.374929716556233,NA,0.350870546272456,0.354016906205746,0.34795478880311
0.242,0,0.242,0.5,50,500,5,-100,0.1,81,-0.17388004285327,NA,-0.00831324543978764,-0.0127241506554053,-0.00696454005815256
0.242,0.099,0.242,0.5,50,500,5,-100,0.1,81,0.175172585759,NA,0.207689576012468,0.267166251817689,0.261372740887175
0.242,0.242,0.242,0.5,50,500,5,-100,0.1,81,0.19942637909714,NA,0.316414004733971,0.315931340818709,0.330226358520834
0.242,0.371,0.242,0.5,50,500,5,-100,0.1,81,0.0842287895636315,NA,0.096185699760754,0.0682435223277929,0.0805474201678753
0.242,0,0.242,0,100,500,5,-100,0.1,81,0.191140289112955,NA,0.2265739132246,0.183441638619857,0.226599971383036
0.242,0.099,0.242,0,100,500,5,-100,0.1,81,0.132670291960932,NA,0.201222701336934,0.262956974659541,0.31666787023177
0.242,0.242,0.242,0,100,500,5,-100,0.1,81,0.165643387009977,NA,0.235750211730252,0.217641051873909,0.2368142805552
0.242,0.371,0.242,0,100,500,5,-100,0.1,81,-0.0794019130280842,NA,-0.0480081447738273,-0.00898833656651064,-0.0357774947345018
0.242,0,0.242,0.1,100,500,5,-100,0.1,81,0.287092903847962,NA,0.253450414751512,0.277843783643309,0.295537901709336
0.242,0.099,0.242,0.1,100,500,5,-100,0.1,81,0.137241872923473,NA,0.194164086345801,0.247952848364341,0.270643849597433
0.242,0.242,0.242,0.1,100,500,5,-100,0.1,81,0.132258220429821,NA,0.135813729948323,0.171215216695557,0.142325825382609
0.242,0.371,0.242,0.1,100,500,5,-100,0.1,81,0.144401695294824,NA,0.159155048497633,0.218163608512728,0.192935227032024
0.242,0,0.242,0.3,100,500,5,-100,0.1,81,0.131952262244347,NA,0.278526313785406,0.253615823777783,0.267104577087087
0.242,0.099,0.242,0.3,100,500,5,-100,0.1,81,0.0742008227421332,NA,0.191630303612781,0.179368864956407,0.190471080685958
0.242,0.242,0.242,0.3,100,500,5,-100,0.1,81,0.211614930420716,NA,0.14235393492318,0.180448283002231,0.157909879933264
0.242,0.371,0.242,0.3,100,500,5,-100,0.1,81,0.196406157375555,NA,0.287247717765865,0.301297729303603,0.283459077796912
0.242,0,0.242,0.5,100,500,5,-100,0.1,81,0.0854189535642641,NA,0.125395961782102,0.0622896354999193,0.0619096021463682
0.242,0.099,0.242,0.5,100,500,5,-100,0.1,81,0.249109670727748,NA,0.272644341014245,0.288634869399359,0.288871189428451
