"a","b","c","cor","n","mu.z","mu.x","skew","p.missing","i","Sample","caseIII","corrected","uncorrected","CaseIII"
0.242,0.242,0,0,50,0,5,-100,0.1,301,-0.0635000070837025,NA,-0.16187039102723,-0.151619113314548,-0.185369494064131
0.242,0.242,0.099,0,50,0,5,-100,0.1,301,0.0499041054667674,NA,0.115640374757925,0.100021987562436,0.0713207059276944
0.242,0.242,0.242,0,50,0,5,-100,0.1,301,0.132006104380402,NA,0.05172438101103,0.0935764434747262,0.0556642924228338
0.242,0.242,0.371,0,50,0,5,-100,0.1,301,-0.0468752130844712,NA,0.195197008762393,0.141854409791436,0.120045725515839
0.242,0.242,0,0.1,50,0,5,-100,0.1,301,0.544671771859426,NA,0.487546966834805,0.489146302270125,0.475635739905691
0.242,0.242,0.099,0.1,50,0,5,-100,0.1,301,0.0462137207207619,NA,0.109733612342048,0.0855422286824526,0.0714103769690745
0.242,0.242,0.242,0.1,50,0,5,-100,0.1,301,-0.0539776209310184,NA,-0.118829213124935,-0.0423074949807714,-0.072969756898562
0.242,0.242,0.371,0.1,50,0,5,-100,0.1,301,-0.0650699429169445,NA,-0.106878334079537,-0.0255678702663069,-0.058006237379313
0.242,0.242,0,0.3,50,0,5,-100,0.1,301,0.298074746250817,NA,0.311826428371281,0.32207209659639,0.312007299151761
0.242,0.242,0.099,0.3,50,0,5,-100,0.1,301,0.134308759125562,NA,0.0490859104068478,0.0708999963854402,0.0335624133569232
0.242,0.242,0.242,0.3,50,0,5,-100,0.1,301,0.181361924732313,NA,0.106254335332131,0.162784623753695,0.151824014678076
0.242,0.242,0.371,0.3,50,0,5,-100,0.1,301,0.0425919871268785,NA,0.0454638595510948,-0.00472504782572275,-0.0919429162166919
0.242,0.242,0,0.5,50,0,5,-100,0.1,301,0.0978745647402627,NA,0.0788888640367834,0.0875727860538669,0.0513966701717129
0.242,0.242,0.099,0.5,50,0,5,-100,0.1,301,0.0354850521957356,NA,-0.0951097384347537,-0.054545335636286,-0.0952829232197391
0.242,0.242,0.242,0.5,50,0,5,-100,0.1,301,0.023861174363987,NA,0.0184698908418232,-0.0123391471328654,-0.0136540103615523
0.242,0.242,0.371,0.5,50,0,5,-100,0.1,301,0.116767024859812,NA,0.00462608543963689,0.0421057144100446,0.0225528470839449
0.242,0.242,0,0,200,0,5,-100,0.1,301,0.120441191452939,NA,0.138426013410851,0.175550188704216,0.131615245687369
0.242,0.242,0.099,0,200,0,5,-100,0.1,301,0.00929258776943675,NA,0.00826097010143408,0.0108358195787343,-0.025281408431108
0.242,0.242,0.242,0,200,0,5,-100,0.1,301,-0.011542160138909,NA,-0.0906755263325877,-0.0156310620748111,-0.0911626210321249
0.242,0.242,0.371,0,200,0,5,-100,0.1,301,-0.0803062540962116,NA,-0.137659749474538,-0.0816713462935095,-0.13357991922472
0.242,0.242,0,0.1,200,0,5,-100,0.1,301,0.155994629949667,NA,0.125157547891804,0.15408009190025,0.135034785514067
0.242,0.242,0.099,0.1,200,0,5,-100,0.1,301,0.0480322521492328,NA,0.053090782976149,0.0792593614426665,0.0568090187007716
0.242,0.242,0.242,0.1,200,0,5,-100,0.1,301,0.0979481067358736,NA,0.0924500720669694,0.112974636549445,0.0825829534891934
0.242,0.242,0.371,0.1,200,0,5,-100,0.1,301,-0.146582698652531,NA,-0.184751457367502,-0.117129436112699,-0.188994127974576
0.242,0.242,0,0.3,200,0,5,-100,0.1,301,0.142460759748745,NA,0.090959209389504,0.123502271657516,0.0885172221640928
0.242,0.242,0.099,0.3,200,0,5,-100,0.1,301,0.0724208132909357,NA,0.0535783235570988,0.097516764901773,0.0899797860719442
0.242,0.242,0.242,0.3,200,0,5,-100,0.1,301,0.0996811305631118,NA,0.0385579573901211,0.0659658300296515,0.042050419714349
0.242,0.242,0.371,0.3,200,0,5,-100,0.1,301,0.174043839380769,NA,0.134097678058234,0.175855343362318,0.145636710855765
0.242,0.242,0,0.5,200,0,5,-100,0.1,301,0.215964628083679,NA,0.0945630808034685,0.143006911822579,0.122808738052978
0.242,0.242,0.099,0.5,200,0,5,-100,0.1,301,0.125281663734219,NA,0.115306374889538,0.125446824923557,0.11529043274173
0.242,0.242,0.242,0.5,200,0,5,-100,0.1,301,0.161269497426414,NA,0.13596139076476,0.153532729434832,0.126800713965777
0.242,0.242,0.371,0.5,200,0,5,-100,0.1,301,0.131516114308753,NA,0.122610023443251,0.148587264376755,0.122577879864968
0.242,0.242,0,0,500,0,5,-100,0.1,301,0.164552813630478,NA,0.16952852965253,0.19405957103258,0.161935214254727
0.242,0.242,0.099,0,500,0,5,-100,0.1,301,0.192926855310159,NA,0.158155246837593,0.190997409650067,0.165567555450653
0.242,0.242,0.242,0,500,0,5,-100,0.1,301,-0.0566214321421215,NA,-0.114373699113153,-0.0649737071498345,-0.111841942230877
0.242,0.242,0.371,0,500,0,5,-100,0.1,301,-0.07127073281365,NA,-0.121951812386894,-0.0414822420808025,-0.104546282713957
0.242,0.242,0,0.1,500,0,5,-100,0.1,301,0.0586924470517203,NA,0.0431680199384164,0.0576069338561213,0.0343679120019206
0.242,0.242,0.099,0.1,500,0,5,-100,0.1,301,0.12076237290427,NA,0.118988073950535,0.145528445227846,0.119803022453162
0.242,0.242,0.242,0.1,500,0,5,-100,0.1,301,0.0385800682206812,NA,-0.013577321574954,0.0349403640489606,-0.0140211153723213
0.242,0.242,0.371,0.1,500,0,5,-100,0.1,301,-0.0567768739501979,NA,-0.0599169129693742,-0.0122558336389808,-0.0617923298185295
0.242,0.242,0,0.3,500,0,5,-100,0.1,301,0.155443707523979,NA,0.151524758137777,0.160291815266409,0.146456541193487
0.242,0.242,0.099,0.3,500,0,5,-100,0.1,301,0.0892645953873397,NA,-5.15300115755473e-05,0.0268820333919563,-0.00416341830372644
0.242,0.242,0.242,0.3,500,0,5,-100,0.1,301,0.0771198123504814,NA,0.0321674715071866,0.080376295835583,0.0319327891506807
0.242,0.242,0.371,0.3,500,0,5,-100,0.1,301,0.10845458907368,NA,0.0504141635793658,0.0813993026271474,0.0500571112295168
0.242,0.242,0,0.5,500,0,5,-100,0.1,301,0.197650468913706,NA,0.142768521045123,0.153158516063346,0.142024188575196
0.242,0.242,0.099,0.5,500,0,5,-100,0.1,301,0.160594629963437,NA,0.179175229601085,0.18365813190045,0.172825686226459
0.242,0.242,0.242,0.5,500,0,5,-100,0.1,301,0.192695224307598,NA,0.156532381449909,0.170571941940862,0.15703708527473
0.242,0.242,0.371,0.5,500,0,5,-100,0.1,301,0.240374762452686,NA,0.145892799565752,0.156048807338422,0.143225074771375
0.242,0.242,0,0,50,50,5,-100,0.1,301,-0.0133944378055946,NA,0.000851251831484421,0.0176949570376136,0.000827629104661995
0.242,0.242,0.099,0,50,50,5,-100,0.1,301,0.471365095924396,NA,0.194402242070988,0.240473305954624,0.184626943707134
0.242,0.242,0.242,0,50,50,5,-100,0.1,301,0.292451019004577,NA,0.397566862469625,0.369896681537534,0.358262231141407
0.242,0.242,0.371,0,50,50,5,-100,0.1,301,0.498052513615653,NA,0.532249079603552,0.53774869816972,0.547277422910523
0.242,0.242,0,0.1,50,50,5,-100,0.1,301,0.0352271848060723,NA,-0.0876361264613834,-0.0579333117276262,-0.100143383527481
0.242,0.242,0.099,0.1,50,50,5,-100,0.1,301,0.227852365244981,NA,0.124310050535141,0.219595267695926,0.198252232544367
0.242,0.242,0.242,0.1,50,50,5,-100,0.1,301,0.170993081437314,NA,0.0380508930134331,0.106789837348293,0.041862976437085
0.242,0.242,0.371,0.1,50,50,5,-100,0.1,301,0.51155493250751,NA,0.358636024530938,0.505805106869752,0.519784495745781
0.242,0.242,0,0.3,50,50,5,-100,0.1,301,0.243626203314273,NA,0.186830147051375,0.161199578002629,0.136719678640673
0.242,0.242,0.099,0.3,50,50,5,-100,0.1,301,0.143051385698645,NA,0.151199330063209,0.187576998540557,0.184288064107828
0.242,0.242,0.242,0.3,50,50,5,-100,0.1,301,0.339392371078218,NA,0.280763013652834,0.277581898122739,0.282249053599504
0.242,0.242,0.371,0.3,50,50,5,-100,0.1,301,0.0594837507028717,NA,0.263290129721514,0.201917883901713,0.192606507746616
0.242,0.242,0,0.5,50,50,5,-100,0.1,301,0.323525265989622,NA,0.286888946434802,0.305877696220668,0.280684050708026
0.242,0.242,0.099,0.5,50,50,5,-100,0.1,301,0.19853854211742,NA,0.162858793865685,0.145532152477414,0.167106052163392
0.242,0.242,0.242,0.5,50,50,5,-100,0.1,301,0.291151185348975,NA,0.290550658598629,0.244504641522425,0.238885361387577
0.242,0.242,0.371,0.5,50,50,5,-100,0.1,301,0.518074429181919,NA,0.435087476752228,0.49191919260329,0.492636134274365
0.242,0.242,0,0,200,50,5,-100,0.1,301,-0.0267400032589187,NA,-0.0836842543243869,-0.0363565277916086,-0.0548197163223791
0.242,0.242,0.099,0,200,50,5,-100,0.1,301,0.190400400486757,NA,0.210705846070236,0.219919445226661,0.214339323366875
0.242,0.242,0.242,0,200,50,5,-100,0.1,301,0.428828515119085,NA,0.39830231111766,0.391571567058561,0.389937616623489
0.242,0.242,0.371,0,200,50,5,-100,0.1,301,0.364486322352386,NA,0.418389746485644,0.395826779433745,0.403795316926859
0.242,0.242,0,0.1,200,50,5,-100,0.1,301,0.248161074990613,NA,0.255484394960422,0.261242546717701,0.234320881776926
0.242,0.242,0.099,0.1,200,50,5,-100,0.1,301,0.333477863390346,NA,0.342637148614285,0.3683340682019,0.370155105555052
0.242,0.242,0.242,0.1,200,50,5,-100,0.1,301,0.23333268464,NA,0.183570213314601,0.218179722048904,0.187623955119407
0.242,0.242,0.371,0.1,200,50,5,-100,0.1,301,0.336327168319791,NA,0.252168852113104,0.293862418592372,0.260427731939935
0.242,0.242,0,0.3,200,50,5,-100,0.1,301,0.133929964540475,NA,0.103260887269434,0.11797835438113,0.112226909675895
0.242,0.242,0.099,0.3,200,50,5,-100,0.1,301,0.223665709115418,NA,0.0441118192999849,0.0935061594659444,0.0679672479031176
0.242,0.242,0.242,0.3,200,50,5,-100,0.1,301,0.322759563428434,NA,0.292372193992305,0.302657941339954,0.291454971422668
0.242,0.242,0.371,0.3,200,50,5,-100,0.1,301,0.509830138930693,NA,0.424482174758461,0.451989749224121,0.415012932512479
0.242,0.242,0,0.5,200,50,5,-100,0.1,301,0.116195957325413,NA,0.0986089730836822,0.105118448708239,0.0997327021252676
0.242,0.242,0.099,0.5,200,50,5,-100,0.1,301,0.332426604876308,NA,0.300258325954237,0.305638300050043,0.305733923310241
0.242,0.242,0.242,0.5,200,50,5,-100,0.1,301,0.273797087021972,NA,0.266836056147615,0.294877765939237,0.276165455074966
0.242,0.242,0.371,0.5,200,50,5,-100,0.1,301,0.443998068481746,NA,0.422928394155428,0.434878304617149,0.421739372566958
0.242,0.242,0,0,500,50,5,-100,0.1,301,0.127679489766814,NA,0.14920977202299,0.165202106794504,0.1334087622491
0.242,0.242,0.099,0,500,50,5,-100,0.1,301,0.115606716403135,NA,0.125719235878027,0.146066256312397,0.12143435120554
0.242,0.242,0.242,0,500,50,5,-100,0.1,301,0.303684742720865,NA,0.332462672657947,0.340344915819534,0.331086537378229
0.242,0.242,0.371,0,500,50,5,-100,0.1,301,0.38236689025651,NA,0.385869469767326,0.389347253323717,0.376902244107992
0.242,0.242,0,0.1,500,50,5,-100,0.1,301,0.169700698902016,NA,0.140404947265539,0.160447157089447,0.13967609685322
0.242,0.242,0.099,0.1,500,50,5,-100,0.1,301,0.257071605116829,NA,0.200081507364254,0.213496029063459,0.19094858317517
0.242,0.242,0.242,0.1,500,50,5,-100,0.1,301,0.297056476272812,NA,0.364324210046174,0.358131257540809,0.346761306347276
0.242,0.242,0.371,0.1,500,50,5,-100,0.1,301,0.450822224424483,NA,0.471769847858442,0.474483386126069,0.460460524518352
0.242,0.242,0,0.3,500,50,5,-100,0.1,301,0.248127866430173,NA,0.211469000492194,0.229996294351578,0.214780005357661
0.242,0.242,0.099,0.3,500,50,5,-100,0.1,301,0.157419216503522,NA,0.125114906360763,0.13993958270221,0.123280517715669
0.242,0.242,0.242,0.3,500,50,5,-100,0.1,301,0.273958118092868,NA,0.257854034485525,0.284562492236665,0.268310436653036
0.242,0.242,0.371,0.3,500,50,5,-100,0.1,301,0.416225641840585,NA,0.364770548789511,0.394047258977803,0.371532661727514
0.242,0.242,0,0.5,500,50,5,-100,0.1,301,0.182767318620787,NA,0.184940142554383,0.188802592111524,0.184716305040683
0.242,0.242,0.099,0.5,500,50,5,-100,0.1,301,0.196030360498498,NA,0.162975723238846,0.173353148011372,0.165930136907085
0.242,0.242,0.242,0.5,500,50,5,-100,0.1,301,0.342643818519911,NA,0.328059669241399,0.336380072522417,0.327482392920886
0.242,0.242,0.371,0.5,500,50,5,-100,0.1,301,0.484001002818136,NA,0.45656387842017,0.458133846712318,0.455264711808035
0.242,0.242,0,0,50,100,5,-100,0.1,301,-0.129896082012631,NA,-0.33297448210956,-0.247744042629051,-0.283698518210097
0.242,0.242,0.099,0,50,100,5,-100,0.1,301,0.352567136170634,NA,0.33855297074741,0.407063337619052,0.367964386188921
0.242,0.242,0.242,0,50,100,5,-100,0.1,301,0.33852848202934,NA,0.449060328922041,0.428385601762018,0.43845945308714
0.242,0.242,0.371,0,50,100,5,-100,0.1,301,0.608581474154373,NA,0.611402682097779,0.586809575891409,0.573233360304152
0.242,0.242,0,0.1,50,100,5,-100,0.1,301,-0.00467188767879344,NA,0.140645460951846,0.166357590210326,0.158255145880978
0.242,0.242,0.099,0.1,50,100,5,-100,0.1,301,0.119145336675755,NA,0.0457259844740488,0.0929961556991482,0.0648301323802849
0.242,0.242,0.242,0.1,50,100,5,-100,0.1,301,0.521705315571684,NA,0.457818106074464,0.523635661003927,0.50064376844686
0.242,0.242,0.371,0.1,50,100,5,-100,0.1,301,0.473214509027017,NA,0.374216826827717,0.455018039705809,0.425298434499688
0.242,0.242,0,0.3,50,100,5,-100,0.1,301,0.331214889159588,NA,0.291539288730648,0.308914739994693,0.312703828022545
0.242,0.242,0.099,0.3,50,100,5,-100,0.1,301,0.11638812604498,NA,0.0122315322982179,0.0194637257706363,0.00106332492429058
0.242,0.242,0.242,0.3,50,100,5,-100,0.1,301,0.192453849421144,NA,0.171326170734193,0.162017652395955,0.155329871005112
0.242,0.242,0.371,0.3,50,100,5,-100,0.1,301,0.514437947967211,NA,0.501025013585991,0.517232877578077,0.501699333517435
0.242,0.242,0,0.5,50,100,5,-100,0.1,301,0.0827303976576699,NA,-0.0248204246054625,-0.034065243488431,-0.0298250836253594
0.242,0.242,0.099,0.5,50,100,5,-100,0.1,301,0.414556442040155,NA,0.376158839626869,0.376435991522754,0.373568827547094
0.242,0.242,0.242,0.5,50,100,5,-100,0.1,301,0.446246940813024,NA,0.432650312686907,0.424019430995855,0.424678355706533
0.242,0.242,0.371,0.5,50,100,5,-100,0.1,301,0.617748143341707,NA,0.6210187613527,0.617173246779484,0.611176809059403
0.242,0.242,0,0,200,100,5,-100,0.1,301,0.0610975990721419,NA,0.0969283472534865,0.0925385532479044,0.0918862688821961
0.242,0.242,0.099,0,200,100,5,-100,0.1,301,0.110551503548509,NA,0.0878084351577312,0.133485843949418,0.108189057273638
