"a","b","c","cor","n","mu.z","mu.x","skew","p.missing","i","Sample","caseIII","corrected","uncorrected","CaseIII"
0.242,0,0.242,0,50,500,5,-100,0.1,451,0.280385536926287,NA,0.129660548959095,0.343193176774218,0.343934649811132
0.242,0.099,0.242,0,50,500,5,-100,0.1,451,0.280487916906583,NA,0.111194917280683,0.303297287688827,0.316589259912014
0.242,0.242,0.242,0,50,500,5,-100,0.1,451,0.160077560499212,NA,0.18491605626102,0.218606549795668,0.212706533933205
0.242,0.371,0.242,0,50,500,5,-100,0.1,451,0.13464737094699,NA,0.153693049601621,0.184244235103084,0.169787973987442
0.242,0,0.242,0.1,50,500,5,-100,0.1,451,0.0392491029208194,NA,0.18790157946487,0.184403015998149,0.209096956543146
0.242,0.099,0.242,0.1,50,500,5,-100,0.1,451,0.0918262618349703,NA,0.0887671738844356,0.106473688510129,0.0924865350102511
0.242,0.242,0.242,0.1,50,500,5,-100,0.1,451,-0.00184627469860045,NA,0.180412329102902,0.172906072421308,0.174642279676722
0.242,0.371,0.242,0.1,50,500,5,-100,0.1,451,0.0634005853631238,NA,0.00177798622223732,0.0795657666956756,0.0508270318645232
0.242,0,0.242,0.3,50,500,5,-100,0.1,451,0.33076907968131,NA,0.285591261909673,0.283682447823744,0.304561360495272
0.242,0.099,0.242,0.3,50,500,5,-100,0.1,451,0.372777087475688,NA,0.35530778230433,0.360722844373739,0.350134986129871
0.242,0.242,0.242,0.3,50,500,5,-100,0.1,451,-0.0863240640834461,NA,-0.0757365333648308,-0.0594916911434334,-0.070163717310051
0.242,0.371,0.242,0.3,50,500,5,-100,0.1,451,0.0422175668351438,NA,0.133660494919587,0.167761361236689,0.141401822031982
0.242,0,0.242,0.5,50,500,5,-100,0.1,451,0.222917473600832,NA,0.2291978333674,0.194490303261175,0.19659976160182
0.242,0.099,0.242,0.5,50,500,5,-100,0.1,451,-0.143195409929204,NA,-0.00569261349118577,-0.00545252231110373,-0.00247730302779648
0.242,0.242,0.242,0.5,50,500,5,-100,0.1,451,-0.0300643685348457,NA,-0.0381937317380294,-0.0712630714174433,-0.0602842151863944
0.242,0.371,0.242,0.5,50,500,5,-100,0.1,451,0.0355080514768967,NA,0.0162142855823588,0.0306759167680043,0.0146783150986422
0.242,0,0.242,0,100,500,5,-100,0.1,451,0.185493628965721,NA,0.220900134093332,0.228688230760557,0.223860830784622
0.242,0.099,0.242,0,100,500,5,-100,0.1,451,0.0880930520596275,NA,0.0585287833944585,0.11551543086553,0.135858254991057
0.242,0.242,0.242,0,100,500,5,-100,0.1,451,-0.0297797984455062,NA,0.0102281047416697,0.0463057909078087,0.026446941030361
0.242,0.371,0.242,0,100,500,5,-100,0.1,451,0.0496277338434214,NA,-0.0629548439011962,0.0848645760793196,0.0251550084936104
0.242,0,0.242,0.1,100,500,5,-100,0.1,451,0.0947746703441002,NA,0.0358057360540253,0.0381794243313969,0.0350302130175324
0.242,0.099,0.242,0.1,100,500,5,-100,0.1,451,0.340295665671459,NA,0.389920652307037,0.389078765118459,0.40081368383658
0.242,0.242,0.242,0.1,100,500,5,-100,0.1,451,0.241963848327507,NA,0.156092182291658,0.20559764817396,0.204154773970069
0.242,0.371,0.242,0.1,100,500,5,-100,0.1,451,-0.201437977497905,NA,-0.175771398022027,-0.0753631513702583,-0.131032022583566
0.242,0,0.242,0.3,100,500,5,-100,0.1,451,0.054228205883346,NA,0.116153359395015,0.0991808278570943,0.115604692793392
0.242,0.099,0.242,0.3,100,500,5,-100,0.1,451,0.0693678193914404,NA,0.128654883600816,0.151700184786673,0.155588452944726
0.242,0.242,0.242,0.3,100,500,5,-100,0.1,451,0.148318461152369,NA,0.149472556647041,0.165481258146874,0.160116267098592
0.242,0.371,0.242,0.3,100,500,5,-100,0.1,451,0.134027491116002,NA,0.0853664964379756,0.121663108119784,0.0906758721012137
0.242,0,0.242,0.5,100,500,5,-100,0.1,451,0.212447459291098,NA,0.203555189173453,0.243451243434556,0.240231459228389
0.242,0.099,0.242,0.5,100,500,5,-100,0.1,451,0.0798336642546217,NA,0.0960542147553079,0.107040677488135,0.0962933926863993
