"a","b","c","cor","n","mu.z","mu.x","skew","p.missing","i","Sample","caseIII","corrected","uncorrected","CaseIII"
0.242,0,0.242,0,50,500,5,-100,0.1,281,0.217620138517896,NA,0.321137792893696,0.328685292723793,0.313002643500954
0.242,0.099,0.242,0,50,500,5,-100,0.1,281,0.190100428008019,NA,0.148503335016276,0.197602285808502,0.165872528234059
0.242,0.242,0.242,0,50,500,5,-100,0.1,281,0.360301191725944,NA,0.398175388192399,0.391153933273132,0.407854961852579
0.242,0.371,0.242,0,50,500,5,-100,0.1,281,0.00705326791366722,NA,0.0428546130424683,0.0646147326120588,0.0449839498028635
0.242,0,0.242,0.1,50,500,5,-100,0.1,281,0.0984658887966024,NA,0.00296448602282624,0.0169338911531305,-0.018848434513289
0.242,0.099,0.242,0.1,50,500,5,-100,0.1,281,0.0780726634529911,NA,-0.0219794834013424,0.0423487502970134,0.0398583202854079
0.242,0.242,0.242,0.1,50,500,5,-100,0.1,281,0.084745120228673,NA,0.0272280069180326,0.15609574247455,0.130412428930958
0.242,0.371,0.242,0.1,50,500,5,-100,0.1,281,-0.038898874190912,NA,0.0180663799929043,0.0359038914004092,0.0111494391612114
0.242,0,0.242,0.3,50,500,5,-100,0.1,281,0.400895830443884,NA,0.530362695376681,0.524383831645023,0.535728216763782
0.242,0.099,0.242,0.3,50,500,5,-100,0.1,281,0.0336928237781529,NA,0.0506350650009277,0.151046577365643,0.113909248825986
0.242,0.242,0.242,0.3,50,500,5,-100,0.1,281,0.0316588405193485,NA,0.019523983381463,0.0514146956169673,0.0155901636050505
0.242,0.371,0.242,0.3,50,500,5,-100,0.1,281,-0.123852935472729,NA,-0.0551846872747054,-0.0515664007034839,-0.0736860504204722
0.242,0,0.242,0.5,50,500,5,-100,0.1,281,0.168235115489928,NA,0.136406148249794,0.168983373433575,0.163402131046886
0.242,0.099,0.242,0.5,50,500,5,-100,0.1,281,0.0942969890823601,NA,0.101070478455853,0.121518920970576,0.11298006671254
0.242,0.242,0.242,0.5,50,500,5,-100,0.1,281,0.178785505486892,NA,0.21446688056342,0.210581669334125,0.195418702482527
0.242,0.371,0.242,0.5,50,500,5,-100,0.1,281,0.262552567499382,NA,0.302880529794724,0.306111891227933,0.312658108547023
0.242,0,0.242,0,100,500,5,-100,0.1,281,-0.0860690841424302,NA,-0.0281186372870182,-0.00913316807058426,-0.0337547727264356
