Parameters,Values
$b_{ses}$,0.242
$b_{sat}$,0.242
$b_{ses\cdot sat}$,"0, 0.099, 0.242, 0.371"
r,"0, 0.1, 0.3, 0.5"
$\bar{ses}$,5
$\bar{sat}$,"0, 50, 100"
$n$,"50, 200, 500"
$p_{missing}$,"0.1, 0.3, 0.5, 0.7"
skew,"-100, -50, 0, 50, 100"
