"a","b","c","cor","n","mu.z","mu.x","skew","p.missing","i","Sample","caseIII","corrected","uncorrected","CaseIII"
0.242,0,0.242,0,50,500,5,-100,0.1,141,0.137041295038931,NA,0.114387056579582,0.105911466249451,0.119873496026536
0.242,0.099,0.242,0,50,500,5,-100,0.1,141,-0.0793488972180715,NA,-0.0200156564317436,-0.0356278041019724,0.00186653466003776
0.242,0.242,0.242,0,50,500,5,-100,0.1,141,0.266772727406935,NA,0.324589634348682,0.31692089478819,0.319230156218038
0.242,0.371,0.242,0,50,500,5,-100,0.1,141,0.0818234793443462,NA,0.250242535114001,0.291770174758685,0.291406698563673
0.242,0,0.242,0.1,50,500,5,-100,0.1,141,0.092352445773269,NA,0.107894936262494,0.116546664733984,0.125729721197825
0.242,0.099,0.242,0.1,50,500,5,-100,0.1,141,0.466775829964353,NA,0.627376088218337,0.603308333443633,0.628399885157401
0.242,0.242,0.242,0.1,50,500,5,-100,0.1,141,-0.0946148821573444,NA,-0.154212951940473,-0.113096032607979,-0.132683005381255
0.242,0.371,0.242,0.1,50,500,5,-100,0.1,141,0.00963160420594725,NA,-0.139497626738286,0.0863864700988428,0.0624959493713698
0.242,0,0.242,0.3,50,500,5,-100,0.1,141,0.44759963366664,NA,0.398873110840601,0.398887992929501,0.410257260650828
0.242,0.099,0.242,0.3,50,500,5,-100,0.1,141,0.154223625615068,NA,0.150181712738984,0.182828722562406,0.142329733816986
0.242,0.242,0.242,0.3,50,500,5,-100,0.1,141,0.285954120809081,NA,0.299261907004318,0.30822360568363,0.29300773575532
0.242,0.371,0.242,0.3,50,500,5,-100,0.1,141,0.0556424145649972,NA,0.129688395680375,0.111208968854229,0.111296961774918
0.242,0,0.242,0.5,50,500,5,-100,0.1,141,0.203768603448544,NA,0.17632461075411,0.186968873500321,0.178127766996556
0.242,0.099,0.242,0.5,50,500,5,-100,0.1,141,-0.00989242196497548,NA,0.0674579487991445,0.0627591411300563,0.0683194902347457
0.242,0.242,0.242,0.5,50,500,5,-100,0.1,141,0.11915203344051,NA,0.0326871131551882,0.0673339764341405,0.0352185437744564
0.242,0.371,0.242,0.5,50,500,5,-100,0.1,141,0.115701330337452,NA,0.248374404890211,0.245672939720285,0.246753365282532
0.242,0,0.242,0,100,500,5,-100,0.1,141,0.147964457439897,NA,0.217862740374719,0.279443265448556,0.303706183983902
0.242,0.099,0.242,0,100,500,5,-100,0.1,141,0.310365357163945,NA,0.355329035629825,0.303570234923159,0.321619529312727
0.242,0.242,0.242,0,100,500,5,-100,0.1,141,-0.0522215243645867,NA,-0.0505775474746089,0.022318607241705,-0.00617826653892355
0.242,0.371,0.242,0,100,500,5,-100,0.1,141,-0.0446202479281678,NA,-0.136836870933054,-0.0767982202062449,-0.0995665952103659
0.242,0,0.242,0.1,100,500,5,-100,0.1,141,0.0442883045348577,NA,0.0927693223893128,0.0987518759287011,0.10110750022132
0.242,0.099,0.242,0.1,100,500,5,-100,0.1,141,0.359681242643809,NA,0.342116458335097,0.341697450803557,0.341119088276234
0.242,0.242,0.242,0.1,100,500,5,-100,0.1,141,-0.027911743611205,NA,-0.0789873673531861,-0.0579366603374738,-0.0705922495208422
0.242,0.371,0.242,0.1,100,500,5,-100,0.1,141,0.0913689078611977,NA,0.18868716218515,0.213402582700695,0.191247790296999
0.242,0,0.242,0.3,100,500,5,-100,0.1,141,0.170740122116788,NA,0.164731149246558,0.160421175992452,0.167232511881942
0.242,0.099,0.242,0.3,100,500,5,-100,0.1,141,0.193431381108456,NA,0.212142675867754,0.215849887802365,0.213532229579406
0.242,0.242,0.242,0.3,100,500,5,-100,0.1,141,0.0951397700754455,NA,0.0986459410425727,0.111795574493909,0.0994420423299305
