"a","b","c","cor","n","mu.z","mu.x","skew","p.missing","i","Sample","caseIII","corrected","uncorrected","CaseIII"
0.242,0.242,0,0,50,0,5,-100,0.1,271,0.113552090272173,NA,0.269682516894392,0.211324932531585,0.204340502227557
0.242,0.242,0.099,0,50,0,5,-100,0.1,271,-0.00473900127819424,NA,-0.054717488519885,-0.0285922191147747,-0.0659512991200341
0.242,0.242,0.242,0,50,0,5,-100,0.1,271,-0.286878446320293,NA,-0.0383342735472789,-0.064066172608644,-0.0856831457323436
0.242,0.242,0.371,0,50,0,5,-100,0.1,271,-0.310410561574397,NA,-0.270378323685991,-0.133195801494169,-0.176604131176079
0.242,0.242,0,0.1,50,0,5,-100,0.1,271,0.0552553851207495,NA,0.191491787045699,0.0945280229223849,0.124410892737014
0.242,0.242,0.099,0.1,50,0,5,-100,0.1,271,0.0973962619080856,NA,0.269986522008708,0.100262878392653,0.09001583967905
0.242,0.242,0.242,0.1,50,0,5,-100,0.1,271,-0.0409201827721066,NA,0.0105141018010482,-0.0784564561389075,-0.115260222646693
0.242,0.242,0.371,0.1,50,0,5,-100,0.1,271,0.248019959593823,NA,0.20434816534478,0.255839411068186,0.24388031705052
0.242,0.242,0,0.3,50,0,5,-100,0.1,271,0.0972013749302503,NA,-0.10535231344563,-0.017291342312769,-0.0825632867839284
0.242,0.242,0.099,0.3,50,0,5,-100,0.1,271,0.426357803693362,NA,0.27559084466775,0.282013352232587,0.274444771148532
0.242,0.242,0.242,0.3,50,0,5,-100,0.1,271,0.174013701657076,NA,0.128583549072207,0.179747070807581,0.147351866701292
0.242,0.242,0.371,0.3,50,0,5,-100,0.1,271,0.0402001045905144,NA,-0.000969969349561278,0.0589492398416991,-0.0369484214253629
0.242,0.242,0,0.5,50,0,5,-100,0.1,271,0.102080206585826,NA,0.0846027489723995,0.10903855954739,0.0997390505540789
0.242,0.242,0.099,0.5,50,0,5,-100,0.1,271,0.0417799980599306,NA,0.109131211961142,0.0866999051197553,0.0804493723210116
0.242,0.242,0.242,0.5,50,0,5,-100,0.1,271,0.205426026015251,NA,0.049169336988079,0.293193649852267,0.179781281931496
0.242,0.242,0.371,0.5,50,0,5,-100,0.1,271,0.259553211093532,NA,0.16577305171383,0.129407590480952,0.136369988689721
0.242,0.242,0,0,200,0,5,-100,0.1,271,0.189179947677085,NA,0.219789073553626,0.221711548019702,0.198159829380545
0.242,0.242,0.099,0,200,0,5,-100,0.1,271,0.140225053142376,NA,0.0186239432055182,0.0654826017183496,0.0505438321403103
0.242,0.242,0.242,0,200,0,5,-100,0.1,271,0.0522376456269692,NA,-0.0703721863634487,-0.0189308604405378,-0.0542012762715223
0.242,0.242,0.371,0,200,0,5,-100,0.1,271,0.0663578078187327,NA,-0.00898731119915491,0.113297180499923,0.0336756887844484
0.242,0.242,0,0.1,200,0,5,-100,0.1,271,0.0220176371009049,NA,0.0308557605189926,0.0771656685553222,0.0566041208421985
0.242,0.242,0.099,0.1,200,0,5,-100,0.1,271,0.142771644559713,NA,0.111707305080304,0.156275482133428,0.124458651324184
0.242,0.242,0.242,0.1,200,0,5,-100,0.1,271,0.150348074314492,NA,0.0742659707342788,0.128750841364357,0.0840212032252465
0.242,0.242,0.371,0.1,200,0,5,-100,0.1,271,0.125821552071427,NA,0.174689321362699,0.204799092061035,0.174914313809393
0.242,0.242,0,0.3,200,0,5,-100,0.1,271,0.26384495656005,NA,0.197693926797822,0.222585767231945,0.198338081488066
0.242,0.242,0.099,0.3,200,0,5,-100,0.1,271,0.347534085194206,NA,0.339034844673784,0.344441425820628,0.349490395501607
0.242,0.242,0.242,0.3,200,0,5,-100,0.1,271,0.0785609958507951,NA,-0.000646685571655399,0.0856907392340145,0.0571037991604021
0.242,0.242,0.371,0.3,200,0,5,-100,0.1,271,-0.0753226936352617,NA,-0.1795030559014,-0.133484313546537,-0.203720276920271
0.242,0.242,0,0.5,200,0,5,-100,0.1,271,0.113787578985593,NA,0.0753962716259494,0.102963206916042,0.0758938116834828
0.242,0.242,0.099,0.5,200,0,5,-100,0.1,271,0.209143905255643,NA,0.134127083159598,0.153624072305474,0.139687612435228
0.242,0.242,0.242,0.5,200,0,5,-100,0.1,271,0.180906585326048,NA,0.17801687744213,0.193994807796067,0.179558167135094
0.242,0.242,0.371,0.5,200,0,5,-100,0.1,271,-0.00538017754270418,NA,-0.0480359256037465,-0.0475956524331608,-0.0523437646017746
0.242,0.242,0,0,500,0,5,-100,0.1,271,0.16218195046658,NA,0.145724901779287,0.170330592170478,0.169121141232285
0.242,0.242,0.099,0,500,0,5,-100,0.1,271,0.0718174025257872,NA,0.0345725830588632,0.0712756112998653,0.0356686983275272
0.242,0.242,0.242,0,500,0,5,-100,0.1,271,-0.0667939019617392,NA,-0.106149343660178,-0.0436280176749076,-0.100444268283351
0.242,0.242,0.371,0,500,0,5,-100,0.1,271,-0.0556169274378501,NA,-0.0278048093236499,0.0392757168463888,-0.0225166498293271
0.242,0.242,0,0.1,500,0,5,-100,0.1,271,0.113832942612498,NA,0.13008307691879,0.148301606378662,0.123496936510817
0.242,0.242,0.099,0.1,500,0,5,-100,0.1,271,0.080435693484294,NA,0.0771887780020272,0.0965620057522187,0.0654590231382406
0.242,0.242,0.242,0.1,500,0,5,-100,0.1,271,0.0476676877335709,NA,0.0615405252730677,0.0888281895656209,0.0673420471635288
0.242,0.242,0.371,0.1,500,0,5,-100,0.1,271,0.0378627707636384,NA,0.00900400804248777,0.0566863118185387,0.0228428005971114
0.242,0.242,0,0.3,500,0,5,-100,0.1,271,0.0947651315911781,NA,0.0629462054798254,0.0782524341900873,0.0631099503190482
0.242,0.242,0.099,0.3,500,0,5,-100,0.1,271,0.107527311424208,NA,0.0677622208562332,0.0908302834177626,0.0677207353585817
0.242,0.242,0.242,0.3,500,0,5,-100,0.1,271,0.0476030765048872,NA,0.0395495249806369,0.0633481239654527,0.0403449158641472
0.242,0.242,0.371,0.3,500,0,5,-100,0.1,271,-0.0235361177952877,NA,-0.0726718921493501,-0.0147568468439219,-0.0731070922097861
0.242,0.242,0,0.5,500,0,5,-100,0.1,271,0.214948794023348,NA,0.17886837748188,0.187507683663962,0.179295395529279
