"a","b","c","cor","n","mu.z","mu.x","skew","p.missing","i","Sample","caseIII","corrected","uncorrected","CaseIII"
0.242,0.242,0,0,50,0,5,-100,0.1,171,0.165115329128553,NA,0.113291793245709,0.159173328222168,0.117725947432117
0.242,0.242,0.099,0,50,0,5,-100,0.1,171,0.111063036710457,NA,0.203899716205755,0.157352847543074,0.124362016760584
0.242,0.242,0.242,0,50,0,5,-100,0.1,171,-0.0692088536806882,NA,-0.10881651981824,-0.0217973307478104,-0.0683185194781448
0.242,0.242,0.371,0,50,0,5,-100,0.1,171,-0.36319740441451,NA,-0.450844894371162,-0.402190314365003,-0.459030124053363
0.242,0.242,0,0.1,50,0,5,-100,0.1,171,0.120492151553262,NA,0.106424233888418,0.133513838671398,0.115251383159597
0.242,0.242,0.099,0.1,50,0,5,-100,0.1,171,0.0612104939645518,NA,-0.069772226201114,-0.0334167870151432,-0.0577279499624441
0.242,0.242,0.242,0.1,50,0,5,-100,0.1,171,0.213096308562091,NA,0.323100412234959,0.357732501146878,0.346646161608537
0.242,0.242,0.371,0.1,50,0,5,-100,0.1,171,0.103710526126097,NA,0.041065667588157,0.0849429303594384,0.0475373999998651
0.242,0.242,0,0.3,50,0,5,-100,0.1,171,0.1867370167367,NA,0.230470294550139,0.225538317812201,0.234080141473971
0.242,0.242,0.099,0.3,50,0,5,-100,0.1,171,0.236334863339061,NA,0.30324975964078,0.341063674818173,0.288607657058877
0.242,0.242,0.242,0.3,50,0,5,-100,0.1,171,-0.13098836922929,NA,-0.306448223864514,-0.267893439269732,-0.299984820993994
0.242,0.242,0.371,0.3,50,0,5,-100,0.1,171,0.0131834940224828,NA,-0.1360641847304,-0.115290099304436,-0.145457771029476
0.242,0.242,0,0.5,50,0,5,-100,0.1,171,0.113466857590079,NA,0.218714782401809,0.240931887468868,0.248304320650264
0.242,0.242,0.099,0.5,50,0,5,-100,0.1,171,0.0378201908375291,NA,0.0421985851834617,0.0772241242540879,0.0366900408353085
0.242,0.242,0.242,0.5,50,0,5,-100,0.1,171,0.168051216804404,NA,0.0299048863245909,0.0651616683854774,0.0333598641482477
0.242,0.242,0.371,0.5,50,0,5,-100,0.1,171,0.405134951875989,NA,0.385973389395411,0.391487688642904,0.381440803529937
0.242,0.242,0,0,200,0,5,-100,0.1,171,0.0958573749386906,NA,0.143587616411431,0.150525040600715,0.151016489661184
0.242,0.242,0.099,0,200,0,5,-100,0.1,171,0.0763204556545497,NA,0.0244618282562613,0.0480197584420111,0.00965067227634499
0.242,0.242,0.242,0,200,0,5,-100,0.1,171,-0.0265247708222266,NA,-0.0996108185208459,-0.014082378361836,-0.0374940598189977
0.242,0.242,0.371,0,200,0,5,-100,0.1,171,-0.0234814116169844,NA,-0.0623896878923093,-0.0114597018454277,-0.062652518664615
0.242,0.242,0,0.1,200,0,5,-100,0.1,171,0.148628501170237,NA,0.106036073348683,0.120971893696586,0.106919122818968
0.242,0.242,0.099,0.1,200,0,5,-100,0.1,171,0.143608372664256,NA,0.174810502828863,0.186871094044736,0.17044153986121
0.242,0.242,0.242,0.1,200,0,5,-100,0.1,171,0.0702875549143768,NA,0.0710114296050796,0.107904093025415,0.0738603592793745
0.242,0.242,0.371,0.1,200,0,5,-100,0.1,171,-0.128232147523822,NA,-0.188166170393081,-0.111499418100022,-0.171468946901768
0.242,0.242,0,0.3,200,0,5,-100,0.1,171,0.113289008060874,NA,0.0475855920529965,0.0555282550663067,0.0458220833247428
0.242,0.242,0.099,0.3,200,0,5,-100,0.1,171,0.133281218223062,NA,0.0774820374695728,0.126326415675255,0.0851873890501784
0.242,0.242,0.242,0.3,200,0,5,-100,0.1,171,-0.0425870897932691,NA,-0.0346645163891353,-0.00247193225907561,-0.0327067816420474
0.242,0.242,0.371,0.3,200,0,5,-100,0.1,171,0.0501481757445357,NA,-0.0527224654952115,-0.0122200806182708,-0.0543306363742126
0.242,0.242,0,0.5,200,0,5,-100,0.1,171,0.139173607258626,NA,0.0924110021208515,0.0952909166528035,0.0922810264822748
0.242,0.242,0.099,0.5,200,0,5,-100,0.1,171,0.326587565215657,NA,0.289070679560422,0.295878467487016,0.287076828402675
0.242,0.242,0.242,0.5,200,0,5,-100,0.1,171,0.10080468632611,NA,0.0680908510383257,0.0753168843709825,0.0698093005809506
0.242,0.242,0.371,0.5,200,0,5,-100,0.1,171,0.205347818395811,NA,0.144532769698997,0.166661927116149,0.128789016145333
0.242,0.242,0,0,500,0,5,-100,0.1,171,0.174127965035655,NA,0.131740899149829,0.158764582059653,0.135414513939465
0.242,0.242,0.099,0,500,0,5,-100,0.1,171,0.0570965389110126,NA,0.0705167316982836,0.11028080975408,0.0735266911157722
0.242,0.242,0.242,0,500,0,5,-100,0.1,171,0.0547848943902531,NA,0.0444473508719948,0.099939776774468,0.0509008875608101
0.242,0.242,0.371,0,500,0,5,-100,0.1,171,-0.0617038232069686,NA,-0.0835166276859981,-0.0181413242465667,-0.0734672205946676
0.242,0.242,0,0.1,500,0,5,-100,0.1,171,0.14979237304721,NA,0.168770158882853,0.178291826984908,0.16291716431406
0.242,0.242,0.099,0.1,500,0,5,-100,0.1,171,0.0537114559893912,NA,0.0651440136403574,0.0987340932699804,0.0738228301611898
0.242,0.242,0.242,0.1,500,0,5,-100,0.1,171,0.0240362938085086,NA,0.0232467881737552,0.0531008489878214,0.00723140838748192
0.242,0.242,0.371,0.1,500,0,5,-100,0.1,171,-0.0293465042014432,NA,-0.070851635892589,0.00139055244546543,-0.0622568843624196
0.242,0.242,0,0.3,500,0,5,-100,0.1,171,0.175145957024366,NA,0.142286621390784,0.159498527041523,0.142105840625677
0.242,0.242,0.099,0.3,500,0,5,-100,0.1,171,0.0826114191809703,NA,0.0375934973803968,0.0650135789487704,0.0435380848135633
0.242,0.242,0.242,0.3,500,0,5,-100,0.1,171,0.125873994435305,NA,0.0431432704066803,0.0975059122570823,0.0508072973815516
0.242,0.242,0.371,0.3,500,0,5,-100,0.1,171,-0.0280894260397219,NA,-0.0773481723768322,-0.00897389226786946,-0.0747225387851294
0.242,0.242,0,0.5,500,0,5,-100,0.1,171,0.174854957818561,NA,0.177031021668605,0.192749823149415,0.18454209196434
0.242,0.242,0.099,0.5,500,0,5,-100,0.1,171,0.15124283437153,NA,0.111487615274232,0.122878671062825,0.111196802558605
0.242,0.242,0.242,0.5,500,0,5,-100,0.1,171,0.153832777270957,NA,0.125485357323775,0.135159014892874,0.125840730433479
0.242,0.242,0.371,0.5,500,0,5,-100,0.1,171,0.0810807389337596,NA,0.0151679996251149,0.0492716046379656,0.0150822874139051
0.242,0.242,0,0,50,50,5,-100,0.1,171,0.372400476142646,NA,0.369401637974173,0.373595087652057,0.373401605153182
0.242,0.242,0.099,0,50,50,5,-100,0.1,171,0.291617098873502,NA,0.177138779149769,0.20788320348121,0.178840545901152
0.242,0.242,0.242,0,50,50,5,-100,0.1,171,0.262139049238875,NA,0.259254913099693,0.238525904592968,0.210807869321348
0.242,0.242,0.371,0,50,50,5,-100,0.1,171,0.409211997597263,NA,0.410230912548401,0.430906849086503,0.411231020925352
0.242,0.242,0,0.1,50,50,5,-100,0.1,171,0.378242425429932,NA,0.358112642734737,0.374921337543238,0.370247823460842
0.242,0.242,0.099,0.1,50,50,5,-100,0.1,171,0.262589214617003,NA,0.238727094489804,0.271682099085548,0.25192296002864
0.242,0.242,0.242,0.1,50,50,5,-100,0.1,171,0.187575472165457,NA,0.234647526569421,0.253992868917032,0.239400800715847
0.242,0.242,0.371,0.1,50,50,5,-100,0.1,171,0.465549454944054,NA,0.353396309766282,0.366031279301738,0.366184690920935
0.242,0.242,0,0.3,50,50,5,-100,0.1,171,0.178244930748672,NA,0.0592071264095206,0.0499961669476466,0.0267590086589842
0.242,0.242,0.099,0.3,50,50,5,-100,0.1,171,0.258397647079981,NA,0.105532334210065,0.122993395302867,0.117527771403909
0.242,0.242,0.242,0.3,50,50,5,-100,0.1,171,0.386023810918294,NA,0.477989627437866,0.451697764746584,0.47067604585435
0.242,0.242,0.371,0.3,50,50,5,-100,0.1,171,0.356417536120163,NA,0.318142696372622,0.380297722302264,0.373984068947235
0.242,0.242,0,0.5,50,50,5,-100,0.1,171,0.14636430327406,NA,0.0813544164745605,0.047304027814329,0.0505317323810079
0.242,0.242,0.099,0.5,50,50,5,-100,0.1,171,0.34380955125005,NA,0.312883774477987,0.325252029058872,0.303605439454718
