"a","b","c","cor","n","mu.z","mu.x","skew","p.missing","i","Sample","caseIII","corrected","uncorrected","CaseIII"
0.242,0,0.242,0,50,500,5,-100,0.1,441,0.235985616949302,NA,0.160632203509283,0.234943299035189,0.256964783532082
0.242,0.099,0.242,0,50,500,5,-100,0.1,441,0.234394737050113,NA,0.287533534687645,0.302245169216664,0.302096315170487
0.242,0.242,0.242,0,50,500,5,-100,0.1,441,-0.021499999059946,NA,0.0185485557758184,0.0162061798591786,-0.0583449942412941
0.242,0.371,0.242,0,50,500,5,-100,0.1,441,-0.0496024884874341,NA,-0.171140300240713,-0.0484465698848793,-0.171508151736664
0.242,0,0.242,0.1,50,500,5,-100,0.1,441,-0.108704270248158,NA,-0.0696013970188937,-0.0616758149659704,-0.0714527109067312
0.242,0.099,0.242,0.1,50,500,5,-100,0.1,441,0.210452304078709,NA,0.16725066097283,0.169045943176138,0.236161157443643
0.242,0.242,0.242,0.1,50,500,5,-100,0.1,441,0.0382697016030764,NA,0.00913515771528388,0.112497570339397,0.0962918683477687
0.242,0.371,0.242,0.1,50,500,5,-100,0.1,441,0.133017035427689,NA,0.166072651412825,0.17479977265923,0.173822047896501
0.242,0,0.242,0.3,50,500,5,-100,0.1,441,0.253319431217819,NA,0.195742923913388,0.234125716264971,0.223022027308181
0.242,0.099,0.242,0.3,50,500,5,-100,0.1,441,0.0147643742945866,NA,0.0840814838074464,0.10439574748934,0.108568488983381
0.242,0.242,0.242,0.3,50,500,5,-100,0.1,441,0.0551978494569099,NA,0.110441706604815,0.171265566704677,0.164848297799779
0.242,0.371,0.242,0.3,50,500,5,-100,0.1,441,0.0478286700521722,NA,-0.0928900449756227,0.0823030163392957,0.0740844018543572
0.242,0,0.242,0.5,50,500,5,-100,0.1,441,-0.0989732531400336,NA,-0.0422331107727215,-0.147606807650207,-0.147013244255403
0.242,0.099,0.242,0.5,50,500,5,-100,0.1,441,0.129383481136416,NA,0.255954362214336,0.135636551146399,0.135460264661708
0.242,0.242,0.242,0.5,50,500,5,-100,0.1,441,0.264276267757734,NA,0.153935557112707,0.0648108095391888,0.0671417748187195
0.242,0.371,0.242,0.5,50,500,5,-100,0.1,441,0.250487900733141,NA,0.257953609942638,0.281081932930794,0.263872364128186
0.242,0,0.242,0,100,500,5,-100,0.1,441,0.101090264769413,NA,0.081319236191968,0.0620276851636567,0.0772810945167427
0.242,0.099,0.242,0,100,500,5,-100,0.1,441,0.0928095813398181,NA,0.260452324069532,0.277491438536634,0.276233877984236
0.242,0.242,0.242,0,100,500,5,-100,0.1,441,0.227328771284382,NA,0.178297215000613,0.260118128924932,0.270438037684316
0.242,0.371,0.242,0,100,500,5,-100,0.1,441,0.0835240515465274,NA,0.0495533286582913,0.112214588531784,0.0845293870175628
0.242,0,0.242,0.1,100,500,5,-100,0.1,441,0.351263228335888,NA,0.458309109675657,0.41369813681548,0.422924338463523
0.242,0.099,0.242,0.1,100,500,5,-100,0.1,441,0.00956326369551398,NA,0.117765507378366,0.199063258525861,0.189894934992846
0.242,0.242,0.242,0.1,100,500,5,-100,0.1,441,0.106138150787373,NA,0.140912352921231,0.201186940335118,0.181264328869776
0.242,0.371,0.242,0.1,100,500,5,-100,0.1,441,0.103378510168932,NA,0.173403509204867,0.194933328827003,0.194299373927445
0.242,0,0.242,0.3,100,500,5,-100,0.1,441,0.098789829652918,NA,0.147918206303336,0.154536038393456,0.17097473944336
0.242,0.099,0.242,0.3,100,500,5,-100,0.1,441,0.236843026472494,NA,0.215663084457893,0.266989095783057,0.271043723089973
0.242,0.242,0.242,0.3,100,500,5,-100,0.1,441,0.00266322449080543,NA,0.135649486302574,0.145159258086554,0.168057192811636
0.242,0.371,0.242,0.3,100,500,5,-100,0.1,441,0.279378649247165,NA,0.17862119421127,0.251216451430952,0.246870181691282
0.242,0,0.242,0.5,100,500,5,-100,0.1,441,0.137543895058405,NA,0.112243240386734,0.103402216261195,0.10193159013388
0.242,0.099,0.242,0.5,100,500,5,-100,0.1,441,0.182529829999754,NA,0.108285909135584,0.0786646643687307,0.0765237177487059
0.242,0.242,0.242,0.5,100,500,5,-100,0.1,441,0.0576956763706742,NA,0.048830234655495,0.0459963415008622,0.0384458332937394
0.242,0.371,0.242,0.5,100,500,5,-100,0.1,441,-0.00241269073390353,NA,0.0264217333391509,0.0205263822740673,0.0148304807095004
0.242,0,0.242,0,200,500,5,-100,0.1,441,0.269060404507752,NA,0.224230303894207,0.270365186573426,0.297530752891573
0.242,0.099,0.242,0,200,500,5,-100,0.1,441,0.156413852489596,NA,0.194455787957796,0.255604580945629,0.277247068710104
0.242,0.242,0.242,0,200,500,5,-100,0.1,441,0.171863577592311,NA,0.282273421477421,0.29371161885647,0.301032213733991
0.242,0.371,0.242,0,200,500,5,-100,0.1,441,-0.156939219907057,NA,-0.120216776418879,-0.0638518055345523,-0.107061208823007
0.242,0,0.242,0.1,200,500,5,-100,0.1,441,0.22197238454262,NA,0.264147659215089,0.264330363764909,0.293752738374292
0.242,0.099,0.242,0.1,200,500,5,-100,0.1,441,0.233486777535166,NA,0.122950412411439,0.189143794828282,0.187103087006951
0.242,0.242,0.242,0.1,200,500,5,-100,0.1,441,-0.0585360781042434,NA,0.105832419700202,0.15984657576975,0.150003367190131
0.242,0.371,0.242,0.1,200,500,5,-100,0.1,441,0.0182555417223006,NA,0.0123591533407483,0.140129913012404,0.0884864213236026
0.242,0,0.242,0.3,200,500,5,-100,0.1,441,0.293740789729192,NA,0.226222557014021,0.23890309445668,0.247541843313639
0.242,0.099,0.242,0.3,200,500,5,-100,0.1,441,0.0889332820974573,NA,0.0639688782648146,0.0615571865439926,0.0527996042599636
0.242,0.242,0.242,0.3,200,500,5,-100,0.1,441,0.175504009686137,NA,0.173757419740706,0.166874885845647,0.176732481745981
0.242,0.371,0.242,0.3,200,500,5,-100,0.1,441,0.0574047689524054,NA,0.140141668961428,0.148122127634352,0.137349686415389
0.242,0,0.242,0.5,200,500,5,-100,0.1,441,0.167586132157544,NA,0.259935460434766,0.253053814066912,0.252891754266774
0.242,0.099,0.242,0.5,200,500,5,-100,0.1,441,0.0376151412933937,NA,0.0437471198932959,0.0418908449025788,0.0424953654367176
0.242,0.242,0.242,0.5,200,500,5,-100,0.1,441,0.0883136327440423,NA,0.155013092427446,0.158091118817391,0.155411926795427
0.242,0.371,0.242,0.5,200,500,5,-100,0.1,441,0.154820349261803,NA,0.173739909051188,0.189762442940262,0.167861789920801
0.242,0,0.242,0,500,500,5,-100,0.1,441,0.236815839714562,NA,0.267966872975374,0.254393856955749,0.278314135406506
0.242,0.099,0.242,0,500,500,5,-100,0.1,441,0.123869517791077,NA,0.175040378768439,0.192741607968285,0.212284496316145
0.242,0.242,0.242,0,500,500,5,-100,0.1,441,0.0852529572167922,NA,0.0839268909850798,0.116304496502497,0.0975355346544817
0.242,0.371,0.242,0,500,500,5,-100,0.1,441,0.03300446960592,NA,0.0597179414053883,0.132020890351399,0.10242243228707
0.242,0,0.242,0.1,500,500,5,-100,0.1,441,0.153872871997319,NA,0.171350948903867,0.205180323978367,0.220863504562204
0.242,0.099,0.242,0.1,500,500,5,-100,0.1,441,0.128705717485508,NA,0.0785859599658985,0.159770607919159,0.148097244783204
0.242,0.242,0.242,0.1,500,500,5,-100,0.1,441,0.0834900336933616,NA,0.0602967885966592,0.0881818668140162,0.0790030768586886
0.242,0.371,0.242,0.1,500,500,5,-100,0.1,441,0.0592390817154792,NA,0.0856286024269485,0.139924676796244,0.116931442063121
0.242,0,0.242,0.3,500,500,5,-100,0.1,441,0.183989641345468,NA,0.234556611868928,0.215445670555304,0.223060753650806
0.242,0.099,0.242,0.3,500,500,5,-100,0.1,441,0.0771309165088869,NA,0.0878761003962502,0.0933295915258664,0.0992182589135422
0.242,0.242,0.242,0.3,500,500,5,-100,0.1,441,0.139130011342874,NA,0.123058676866154,0.143794855053697,0.129336653313838
0.242,0.371,0.242,0.3,500,500,5,-100,0.1,441,0.119844454239325,NA,0.0800480502106407,0.0965793837707189,0.078205053799197
0.242,0,0.242,0.5,500,500,5,-100,0.1,441,0.149900072317773,NA,0.143769814552854,0.152683431388817,0.154699455705173
0.242,0.099,0.242,0.5,500,500,5,-100,0.1,441,0.108816953354689,NA,0.0857044167871752,0.0969292602951497,0.0941232435676252
0.242,0.242,0.242,0.5,500,500,5,-100,0.1,441,0.107207486373408,NA,0.0834322041376804,0.0949490320395243,0.0871347468513914
0.242,0.371,0.242,0.5,500,500,5,-100,0.1,441,0.129014614715843,NA,0.127259598940452,0.115244743150956,0.117403573248961
0.242,0,0.242,0,50,500,5,-50,0.1,441,0.0370202870173239,NA,-0.036899822233283,-0.0304634220730456,-0.0238100100669268
0.242,0.099,0.242,0,50,500,5,-50,0.1,441,-0.132177058793872,NA,-0.0634367336813394,-0.0583602781315295,-0.0615194479272246
0.242,0.242,0.242,0,50,500,5,-50,0.1,441,0.192658858656841,NA,0.121962436844728,0.142411448447981,0.0888388559053992
0.242,0.371,0.242,0,50,500,5,-50,0.1,441,0.0350779397483651,NA,-0.140271826476502,0.00379767125608577,-0.0105554401146511
0.242,0,0.242,0.1,50,500,5,-50,0.1,441,0.0778033107739603,NA,0.261033104111878,0.149872217180219,0.210259882363927
0.242,0.099,0.242,0.1,50,500,5,-50,0.1,441,0.243586028458705,NA,0.138915563847346,0.204416843593456,0.230621927409936
0.242,0.242,0.242,0.1,50,500,5,-50,0.1,441,0.10807816274169,NA,0.0200690926163316,0.153338874103386,0.119678471139192
0.242,0.371,0.242,0.1,50,500,5,-50,0.1,441,-0.0822163942569947,NA,-0.136487534097608,-0.0727218544695384,-0.145606440309643
0.242,0,0.242,0.3,50,500,5,-50,0.1,441,0.372560260401164,NA,0.436852266315644,0.436281123560662,0.439711561996543
0.242,0.099,0.242,0.3,50,500,5,-50,0.1,441,-0.126678795441843,NA,-0.0509036630627401,-0.0777108346011913,-0.0907242491733007
0.242,0.242,0.242,0.3,50,500,5,-50,0.1,441,0.153327175409306,NA,0.13968100936495,0.20098565088458,0.190159363602939
0.242,0.371,0.242,0.3,50,500,5,-50,0.1,441,-0.155604669899639,NA,-0.166344621181535,-0.077170112708694,-0.0966485414862674
0.242,0,0.242,0.5,50,500,5,-50,0.1,441,-0.0218281314720849,NA,-0.0208880013762946,-0.035364582498389,-0.0370224353724498
0.242,0.099,0.242,0.5,50,500,5,-50,0.1,441,0.0153784801662102,NA,0.0332806371325814,0.062098221913218,0.0622045743644435
0.242,0.242,0.242,0.5,50,500,5,-50,0.1,441,-0.0891483921746729,NA,-0.175256861597116,-0.227330173277459,-0.221879181777398
