"a","b","c","cor","n","mu.z","mu.x","skew","p.missing","i","Sample","caseIII","corrected","uncorrected","CaseIII"
0.242,0.242,0,0,50,0,5,-100,0.1,481,0.205930593292642,NA,0.285206960478143,0.260263298779968,0.295984998307254
0.242,0.242,0.099,0,50,0,5,-100,0.1,481,0.266065970288995,NA,0.260405780221681,0.285258253682977,0.272366252947643
0.242,0.242,0.242,0,50,0,5,-100,0.1,481,-0.158782257830118,NA,-0.23331539169785,-0.195842738638133,-0.237765641079354
0.242,0.242,0.371,0,50,0,5,-100,0.1,481,-0.0717723520074415,NA,-0.000286352294772986,0.0919442410404287,0.017531326207031
0.242,0.242,0,0.1,50,0,5,-100,0.1,481,0.147623558806422,NA,0.128844509096295,0.179947137393448,0.166419647826072
0.242,0.242,0.099,0.1,50,0,5,-100,0.1,481,-0.069451346586599,NA,-0.115018158752155,-0.0727824258348701,-0.108342881163684
0.242,0.242,0.242,0.1,50,0,5,-100,0.1,481,0.141413720481101,NA,0.0809632279842264,0.183692197550269,0.133930922614401
0.242,0.242,0.371,0.1,50,0,5,-100,0.1,481,0.310336314834844,NA,0.26784948631765,0.295956076165536,0.269658250575379
0.242,0.242,0,0.3,50,0,5,-100,0.1,481,0.287358120501959,NA,0.218338627337232,0.260034362381164,0.216904076772047
0.242,0.242,0.099,0.3,50,0,5,-100,0.1,481,0.336576202327774,NA,0.181855732738736,0.258028725565605,0.247259016302809
0.242,0.242,0.242,0.3,50,0,5,-100,0.1,481,0.0586098716769262,NA,-0.0853278385249715,0.0100607929568805,-0.0391654355121335
0.242,0.242,0.371,0.3,50,0,5,-100,0.1,481,0.450985534113661,NA,0.359853875912299,0.426818668901316,0.354137687910058
0.242,0.242,0,0.5,50,0,5,-100,0.1,481,0.438582667372883,NA,0.322981127976995,0.362125235735966,0.334199421849382
0.242,0.242,0.099,0.5,50,0,5,-100,0.1,481,0.145294873670606,NA,0.00130481620907092,0.0202566563781094,0.00782734402868547
0.242,0.242,0.242,0.5,50,0,5,-100,0.1,481,0.179502378916066,NA,0.273441073208541,0.304664443661142,0.298317374419978
0.242,0.242,0.371,0.5,50,0,5,-100,0.1,481,0.283723035524332,NA,0.0268838516676288,0.155352719476797,0.0914283039429605
0.242,0.242,0,0,200,0,5,-100,0.1,481,0.201826775001877,NA,0.162691406394137,0.189163012736122,0.17374902885471
0.242,0.242,0.099,0,200,0,5,-100,0.1,481,0.0339791061517916,NA,0.133129765074775,0.124984209575074,0.109744780884026
0.242,0.242,0.242,0,200,0,5,-100,0.1,481,0.0662919275391539,NA,0.0360900461311681,0.0760454268348969,0.0491257505249794
