"a","b","c","cor","n","mu.z","mu.x","skew","p.missing","i","Sample","caseIII","corrected","uncorrected","CaseIII"
0.242,0,0.242,0,50,500,5,-100,0.1,341,0.251907437349209,NA,0.238900340965162,0.282724996715588,0.347744956066554
0.242,0.099,0.242,0,50,500,5,-100,0.1,341,0.137423063574984,NA,0.225219215274402,0.15549269878926,0.180415072628218
0.242,0.242,0.242,0,50,500,5,-100,0.1,341,0.0204752009709164,NA,-0.104064193805559,0.250798125713238,0.253700421329837
0.242,0.371,0.242,0,50,500,5,-100,0.1,341,-0.0232796580884344,NA,0.242829528005657,0.240533734083386,0.24927060832057
0.242,0,0.242,0.1,50,500,5,-100,0.1,341,0.293150960465047,NA,0.222092874598535,0.206149643647913,0.240014506970478
0.242,0.099,0.242,0.1,50,500,5,-100,0.1,341,0.257777624139943,NA,0.351027458939661,0.369267446728196,0.428868634230812
0.242,0.242,0.242,0.1,50,500,5,-100,0.1,341,0.239667278628045,NA,0.269317790355012,0.344740362352521,0.340474038815697
0.242,0.371,0.242,0.1,50,500,5,-100,0.1,341,0.0223288318573099,NA,0.0373342487227792,0.0526121550284258,0.0362105402794557
0.242,0,0.242,0.3,50,500,5,-100,0.1,341,0.0094083411667116,NA,0.00421678607007692,0.0321784521424029,0.0236852657001384
0.242,0.099,0.242,0.3,50,500,5,-100,0.1,341,0.113381179696847,NA,0.0555226391138819,0.201410882504811,0.185424823881082
0.242,0.242,0.242,0.3,50,500,5,-100,0.1,341,0.341191869579204,NA,0.413738228758916,0.406561717923733,0.397330314632414
0.242,0.371,0.242,0.3,50,500,5,-100,0.1,341,0.0770983400364999,NA,-0.125310089764495,-0.115227961773052,-0.119864854947892
0.242,0,0.242,0.5,50,500,5,-100,0.1,341,0.0244223681580687,NA,0.108956234087884,0.120286961958286,0.109160638572037
0.242,0.099,0.242,0.5,50,500,5,-100,0.1,341,0.0494910837409277,NA,-0.00978256172273579,0.0157701924493999,0.0267994809943806
0.242,0.242,0.242,0.5,50,500,5,-100,0.1,341,0.298615437697366,NA,0.273090080219867,0.301692126547552,0.273095366129467
0.242,0.371,0.242,0.5,50,500,5,-100,0.1,341,0.0440692361037555,NA,0.103505288518609,0.072175401684055,0.0727729802537233
0.242,0,0.242,0,100,500,5,-100,0.1,341,0.170043604010291,NA,0.029811740915695,0.0592982263900642,0.0597877100297459
0.242,0.099,0.242,0,100,500,5,-100,0.1,341,0.194529537346938,NA,0.135986950626175,0.150109199960777,0.158365440067359
0.242,0.242,0.242,0,100,500,5,-100,0.1,341,0.141768889309042,NA,0.00933586091714375,0.166932679712645,0.113343407221921
0.242,0.371,0.242,0,100,500,5,-100,0.1,341,0.0800462910281082,NA,0.112745871722443,0.180270913327874,0.157304919265415
0.242,0,0.242,0.1,100,500,5,-100,0.1,341,0.277159306823496,NA,0.186935781508662,0.206873475652588,0.212902409503104
0.242,0.099,0.242,0.1,100,500,5,-100,0.1,341,0.148534706710101,NA,0.225630878376984,0.222718122447765,0.247852667658683
0.242,0.242,0.242,0.1,100,500,5,-100,0.1,341,0.0578096599915931,NA,-0.0385698780209361,-0.0207401803745468,-0.0296569563498705
0.242,0.371,0.242,0.1,100,500,5,-100,0.1,341,0.0821223273316799,NA,0.103776577726802,0.141021919618893,0.110800905135235
0.242,0,0.242,0.3,100,500,5,-100,0.1,341,0.240188231220052,NA,0.288449702915794,0.277131956625483,0.284546703224427
0.242,0.099,0.242,0.3,100,500,5,-100,0.1,341,0.20287374884074,NA,0.259737715134678,0.265905096732056,0.260850407293181
0.242,0.242,0.242,0.3,100,500,5,-100,0.1,341,0.0308413205175902,NA,0.117435141705102,0.0988639645666001,0.0955802395759299
0.242,0.371,0.242,0.3,100,500,5,-100,0.1,341,-0.0816825912725461,NA,-0.046189972610124,-0.0238035532331468,-0.0309681354442127
0.242,0,0.242,0.5,100,500,5,-100,0.1,341,0.2092907383174,NA,0.231201299247317,0.211092598258977,0.215264105570135
0.242,0.099,0.242,0.5,100,500,5,-100,0.1,341,0.149987701747804,NA,0.202827124705974,0.204991625834073,0.202930462638611
0.242,0.242,0.242,0.5,100,500,5,-100,0.1,341,0.293450209869942,NA,0.249954256014513,0.246304078518246,0.244979481550984
0.242,0.371,0.242,0.5,100,500,5,-100,0.1,341,0.215128465005636,NA,0.227651504866918,0.208780374472983,0.208782088997507
0.242,0,0.242,0,200,500,5,-100,0.1,341,0.308171644828429,NA,0.258693647910627,0.272090866697753,0.285238774559841
0.242,0.099,0.242,0,200,500,5,-100,0.1,341,0.130333683190708,NA,0.209945116154403,0.208636770900245,0.234523154949957
0.242,0.242,0.242,0,200,500,5,-100,0.1,341,0.102641852760308,NA,0.0647583005616189,0.213765861590929,0.216796517848932
0.242,0.371,0.242,0,200,500,5,-100,0.1,341,0.213745324812137,NA,0.15610230427839,0.207296494502973,0.204327713832757
0.242,0,0.242,0.1,200,500,5,-100,0.1,341,0.125567567155432,NA,0.00930811888454874,0.105177017628209,0.100331895373074
0.242,0.099,0.242,0.1,200,500,5,-100,0.1,341,0.195232096296869,NA,0.167643333994056,0.187512613545867,0.191332763634591
0.242,0.242,0.242,0.1,200,500,5,-100,0.1,341,0.126423134682461,NA,0.251686640531966,0.301491632335084,0.275501551584805
0.242,0.371,0.242,0.1,200,500,5,-100,0.1,341,0.0394607053313897,NA,-0.00939305846179795,0.0548628853105107,0.00996513544439858
0.242,0,0.242,0.3,200,500,5,-100,0.1,341,0.255070282552914,NA,0.286271558196996,0.288166924199026,0.289097545912739
0.242,0.099,0.242,0.3,200,500,5,-100,0.1,341,0.200447764177351,NA,0.208667208573381,0.208999399623802,0.204933277676982
0.242,0.242,0.242,0.3,200,500,5,-100,0.1,341,0.116831278315789,NA,0.148591586062674,0.130736732517777,0.109836761367342
0.242,0.371,0.242,0.3,200,500,5,-100,0.1,341,0.0936967789831086,NA,0.158460063161772,0.187442771142647,0.168180908768932
0.242,0,0.242,0.5,200,500,5,-100,0.1,341,0.127794463849627,NA,0.213902319003936,0.2015247316192,0.221748796404084
0.242,0.099,0.242,0.5,200,500,5,-100,0.1,341,0.157967259127183,NA,0.166838588064339,0.149401974639979,0.147043619618146
0.242,0.242,0.242,0.5,200,500,5,-100,0.1,341,0.190640441569792,NA,0.174522663006579,0.168560326409115,0.164544811990016
0.242,0.371,0.242,0.5,200,500,5,-100,0.1,341,0.108585571900628,NA,0.102588694837958,0.102962472086896,0.104336282875347
0.242,0,0.242,0,500,500,5,-100,0.1,341,0.188258925625391,NA,0.223470221500877,0.230800336511816,0.24772255747402
0.242,0.099,0.242,0,500,500,5,-100,0.1,341,0.10639045828299,NA,0.150309490551648,0.169025915242877,0.172512661590546
0.242,0.242,0.242,0,500,500,5,-100,0.1,341,0.10448247461327,NA,0.184004646204106,0.225279871180958,0.219301026322153
0.242,0.371,0.242,0,500,500,5,-100,0.1,341,0.0411246781282186,NA,0.00783422850752972,0.0747493387568397,0.03719232479066
0.242,0,0.242,0.1,500,500,5,-100,0.1,341,0.129830935226167,NA,0.200841648070947,0.192320416689759,0.216905614165285
